# Spectrum Count Rate
# Energy bin (keV) 	 Rate (c/s) 	 Uncertainty (c/s)
9.06768 1.6885e+48 0
11.488 1.45644e+48 0
14.5544 1.22236e+48 0
18.4393 1.00044e+48 0
23.3611 8.02195e+47 0
29.5966 6.31861e+47 0
37.4965 4.87495e+47 0
47.5051 3.65279e+47 0
60.1852 2.62512e+47 0
76.2498 1.78119e+47 0
96.6024 1.11922e+47 0
122.387 6.35654e+46 0
155.055 3.16044e+46 0
196.442 1.31661e+46 0
248.877 4.33084e+45 0
315.307 1.04296e+45 0
399.469 1.68639e+44 0
506.095 1.74698e+43 0
641.182 1.91494e+42 0
812.326 7.88551e+41 0
1029.15 5.23792e+41 0
1303.85 3.546e+41 0
1651.88 2.39498e+41 0
2092.8 1.61257e+41 0
2651.4 1.08175e+41 0
3359.12 7.22522e+40 0
4255.73 4.80167e+40 0
5391.67 3.17288e+40 0
6830.82 2.08336e+40 0
8654.1 1.35863e+40 0
10964.1 8.79668e+39 0
13890.6 5.65427e+39 0
17598.2 3.60866e+39 0
22295.6 2.28771e+39 0
28246.7 1.44146e+39 0
35786.3 9.03367e+38 0
