# Spectrum Count Rate
# Energy bin (keV) 	 Rate (c/s) 	 Uncertainty (c/s)
9.06768 4.29879e+45 0
11.488 2.94203e+45 0
14.5544 2.00728e+45 0
18.4393 1.36708e+45 0
23.3611 9.29656e+44 0
29.5966 6.31109e+44 0
37.4965 4.27543e+44 0
47.5051 2.88899e+44 0
60.1852 1.94608e+44 0
76.2498 1.30601e+44 0
96.6024 8.72535e+43 0
122.387 5.79839e+43 0
155.055 3.82946e+43 0
196.442 2.51118e+43 0
248.877 1.63363e+43 0
315.307 1.05356e+43 0
399.469 6.7326e+42 0
506.095 4.26267e+42 0
641.182 2.67483e+42 0
812.326 1.66483e+42 0
1029.15 1.029e+42 0
1303.85 6.32499e+41 0
1651.88 3.87206e+41 0
2092.8 2.364e+41 0
2651.4 1.44091e+41 0
3359.12 8.77495e+40 0
4255.73 5.34155e+40 0
5391.67 3.25096e+40 0
6830.82 1.97843e+40 0
8654.1 1.20395e+40 0
10964.1 7.32614e+39 0
13890.6 4.45786e+39 0
17598.2 2.71248e+39 0
22295.6 1.65044e+39 0
28246.7 1.00422e+39 0
35786.3 6.11018e+38 0
