# Spectrum Count Rate
# Energy bin (keV) 	 Rate (c/s) 	 Uncertainty (c/s)
9.06768 5.94781e+45 0
11.488 4.05514e+45 0
14.5544 2.76176e+45 0
18.4393 1.87842e+45 0
23.3611 1.27554e+45 0
29.5966 8.64456e+44 0
37.4965 5.84462e+44 0
47.5051 3.94031e+44 0
60.1852 2.6475e+44 0
76.2498 1.77184e+44 0
96.6024 1.18042e+44 0
122.387 7.82394e+43 0
155.055 5.15671e+43 0
196.442 3.37844e+43 0
248.877 2.19974e+43 0
315.307 1.42345e+43 0
399.469 9.15607e+42 0
506.095 5.85597e+42 0
641.182 3.72521e+42 0
812.326 2.35772e+42 0
1029.15 1.48507e+42 0
1303.85 9.31227e+41 0
1651.88 5.81565e+41 0
2092.8 3.61895e+41 0
2651.4 2.24501e+41 0
3359.12 1.38897e+41 0
4255.73 8.57341e+40 0
5391.67 5.281e+40 0
6830.82 3.24696e+40 0
8654.1 1.99306e+40 0
10964.1 1.22159e+40 0
13890.6 7.47762e+39 0
17598.2 4.57203e+39 0
22295.6 2.79271e+39 0
28246.7 1.70441e+39 0
35786.3 1.03946e+39 0
