# Spectrum Count Rate
# Energy bin (keV) 	 Rate (c/s) 	 Uncertainty (c/s)
9.06768 2.36923e+45 0
11.488 1.74495e+45 0
14.5544 1.27501e+45 0
18.4393 9.23801e+44 0
23.3611 6.63348e+44 0
29.5966 4.71821e+44 0
37.4965 3.32271e+44 0
47.5051 2.31609e+44 0
60.1852 1.59782e+44 0
76.2498 1.09118e+44 0
96.6024 7.38021e+43 0
122.387 4.94729e+43 0
155.055 3.28961e+43 0
196.442 2.1712e+43 0
248.877 1.42305e+43 0
315.307 9.26297e+42 0
399.469 5.98745e+42 0
506.095 3.84241e+42 0
641.182 2.44767e+42 0
812.326 1.54756e+42 0
1029.15 9.71237e+41 0
1303.85 6.05248e+41 0
1651.88 3.7476e+41 0
2092.8 2.30783e+41 0
2651.4 1.41518e+41 0
3359.12 8.65242e+40 0
4255.73 5.28058e+40 0
5391.67 3.21965e+40 0
6830.82 1.96213e+40 0
8654.1 1.19543e+40 0
10964.1 7.2815e+39 0
13890.6 4.43427e+39 0
17598.2 2.6998e+39 0
22295.6 1.64344e+39 0
28246.7 1.00024e+39 0
35786.3 6.08693e+38 0
