# Spectrum Count Rate
# Energy bin (keV) 	 Rate (c/s) 	 Uncertainty (c/s)
9.06768 2.54657e+48 0
11.488 2.06369e+48 0
14.5544 1.68925e+48 0
18.4393 1.39313e+48 0
23.3611 1.15208e+48 0
29.5966 9.502e+47 0
37.4965 7.77142e+47 0
47.5051 6.26221e+47 0
60.1852 4.93406e+47 0
76.2498 3.76801e+47 0
96.6024 2.76171e+47 0
122.387 1.92228e+47 0
155.055 1.25647e+47 0
196.442 7.61385e+46 0
248.877 4.20601e+46 0
315.307 2.0684e+46 0
399.469 8.74918e+45 0
506.095 3.02651e+45 0
641.182 7.96442e+44 0
812.326 1.44896e+44 0
1029.15 1.62023e+43 0
1303.85 9.66728e+41 0
1651.88 2.58887e+40 0
2092.8 2.50675e+38 0
2651.4 6.68041e+35 0
3359.12 3.46908e+32 0
4255.73 2.26689e+28 0
5391.67 0 0
6830.82 0 0
8654.1 0 0
10964.1 0 0
13890.6 0 0
17598.2 0 0
22295.6 0 0
28246.7 0 0
35786.3 0 0
