# Internal Shock Dynamics
# t_e (s) 	 t_a (s) 	 delt_a (s) 	 B_eq (G) 	 Gamma_e 	 E_syn (keV) 	 Gamma_r 	 L_diss (erg/s) 	 nu_c (Hz) 	 nu_m (Hz) 	 shell_index 	 a_syn 	 tau 	 relvel

144.175 	 27.6225 	 0.676505 	 7427.11 	 7.82678 	 7.03793e-05 	 9.28133 	 2.04559e+45 	 8.93924e+12 	 1.2736e+12 	 1346 	 0.133347 	 12613.9 	 0.021628
144.343 	 27.6234 	 0.667644 	 10950.5 	 17.0631 	 0.000496805 	 9.34941 	 4.35503e+45 	 2.86356e+12 	 8.9248e+12 	 1348 	 0.133347 	 12579.5 	 0.029889
144.369 	 27.6236 	 0.677614 	 13318.8 	 25.2526 	 0.00131383 	 9.28139 	 6.68118e+45 	 1.54505e+12 	 2.37751e+13 	 1345 	 0.133347 	 12542.2 	 0.035473
144.635 	 27.6251 	 0.669317 	 17496.8 	 43.7785 	 0.00522525 	 9.34932 	 1.09737e+46 	 6.98498e+11 	 9.38695e+13 	 1349 	 0.133347 	 12488.1 	 0.0454048
144.684 	 27.6254 	 0.67942 	 18937.7 	 51.3284 	 0.00771806 	 9.28148 	 1.37268e+46 	 5.34622e+11 	 1.39665e+14 	 1344 	 0.133347 	 12445.9 	 0.0488348
145.04 	 27.6275 	 0.671638 	 24113.4 	 83.7233 	 0.0263375 	 9.3492 	 2.05835e+46 	 2.65007e+11 	 4.73147e+14 	 1350 	 0.133347 	 12374.3 	 0.0612576
145.124 	 27.628 	 0.681944 	 24285.4 	 85.0439 	 0.0271709 	 9.2816 	 2.29541e+46 	 2.51632e+11 	 4.91675e+14 	 1343 	 0.133347 	 12324.9 	 0.0616965
145.563 	 27.6305 	 0.674631 	 30796 	 137.77 	 0.09108 	 9.34906 	 3.31769e+46 	 1.26091e+11 	 1.63626e+15 	 1351 	 0.133347 	 12238.1 	 0.0774111
145.692 	 27.6313 	 0.685193 	 29353.7 	 125.441 	 0.0714529 	 9.28178 	 3.41187e+46 	 1.41152e+11 	 1.29296e+15 	 1342 	 0.133347 	 12180.2 	 0.0740441
146.197 	 27.6342 	 0.678262 	 37505 	 206.529 	 0.249265 	 9.34891 	 4.86555e+46 	 6.90616e+10 	 4.47813e+15 	 1352 	 0.133347 	 12081.8 	 0.0938267
146.392 	 27.6353 	 0.6892 	 34126.3 	 171.553 	 0.155373 	 9.28201 	 4.69468e+46 	 8.87856e+10 	 2.81146e+15 	 1341 	 0.133347 	 12011.6 	 0.0858675
146.943 	 27.6385 	 0.682524 	 44222.5 	 290.738 	 0.582438 	 9.34876 	 6.69289e+46 	 4.16039e+10 	 1.04639e+16 	 1353 	 0.133347 	 11906.6 	 0.110463
147.225 	 27.6401 	 0.693959 	 38588.5 	 222.417 	 0.295324 	 9.2823 	 6.11439e+46 	 6.05701e+10 	 5.34368e+15 	 1340 	 0.133347 	 11820.8 	 0.0971595
147.796 	 27.6435 	 0.687398 	 50920.7 	 390.982 	 1.21284 	 9.34862 	 8.78519e+46 	 2.6866e+10 	 2.17898e+16 	 1354 	 0.133347 	 11714.3 	 0.127278
148.191 	 27.6457 	 0.69948 	 42736.9 	 277.21 	 0.508092 	 9.28266 	 7.64359e+46 	 4.38875e+10 	 9.1932e+15 	 1339 	 0.133347 	 11609.2 	 0.107916
148.759 	 27.649 	 0.69289 	 57553.3 	 507.459 	 2.30921 	 9.34851 	 1.11178e+47 	 1.83131e+10 	 4.14876e+16 	 1355 	 0.133347 	 11506.1 	 0.144227
149.293 	 27.6521 	 0.705767 	 46561.7 	 335.055 	 0.808731 	 9.28312 	 9.25212e+46 	 3.33344e+10 	 1.46321e+16 	 1338 	 0.133347 	 11378.2 	 0.118137
149.828 	 27.6552 	 0.698981 	 64113.3 	 640.832 	 4.10227 	 9.34844 	 1.3676e+47 	 1.30175e+10 	 7.37025e+16 	 1356 	 0.133347 	 11283.8 	 0.161265
150.534 	 27.6593 	 0.712842 	 50047.7 	 394.998 	 1.20821 	 9.28367 	 1.09066e+47 	 2.63125e+10 	 2.18585e+16 	 1337 	 0.133347 	 11129.1 	 0.127822
151.001 	 27.662 	 0.705658 	 70552.6 	 790.92 	 6.87648 	 9.34843 	 1.83634e+47 	 9.58457e+09 	 1.23545e+17 	 1357 	 0.149068 	 11049.1 	 0.178347
151.915 	 27.6672 	 0.720706 	 53204.7 	 456.437 	 1.71519 	 9.28433 	 1.25831e+47 	 2.14256e+10 	 3.10283e+16 	 1336 	 0.133347 	 10863.8 	 0.136978
152.279 	 27.6693 	 0.712913 	 76861.2 	 958.112 	 10.9934 	 9.3485 	 3.67593e+47 	 7.26285e+09 	 1.97508e+17 	 1358 	 0.25332 	 10803.7 	 0.195426
153.439 	 27.676 	 0.729368 	 56032.4 	 518.66 	 2.33261 	 9.28512 	 1.42548e+47 	 1.79098e+10 	 4.2194e+16 	 1335 	 0.133347 	 10584.1 	 0.145609
153.657 	 27.6773 	 0.720729 	 83013.3 	 1142.35 	 16.8788 	 9.34866 	 6.44052e+47 	 5.64046e+09 	 3.03241e+17 	 1359 	 0.383112 	 10549.3 	 0.212457
155.105 	 27.6856 	 0.73883 	 58531.6 	 580.971 	 3.05759 	 9.28605 	 1.58956e+47 	 1.53124e+10 	 5.53026e+16 	 1334 	 0.133347 	 10292.1 	 0.153725
155.137 	 27.6858 	 0.729106 	 88977 	 1343.21 	 25.0137 	 9.34892 	 9.97554e+47 	 4.47596e+09 	 4.4938e+17 	 1360 	 0.51973 	 10287.2 	 0.229396
156.71 	 27.6948 	 0.728139 	 92188.4 	 1477.52 	 31.5711 	 9.41234 	 1.25179e+48 	 4.03501e+09 	 5.63364e+17 	 1361 	 0.598764 	 10050 	 0.239959
156.912 	 27.6959 	 0.739152 	 63284.4 	 698.436 	 4.81033 	 9.34923 	 1.93812e+47 	 1.21044e+10 	 8.64163e+16 	 1333 	 0.133347 	 9990.34 	 0.167913
158.379 	 27.7043 	 0.737573 	 97815 	 1706.45 	 44.6806 	 9.41191 	 1.66051e+48 	 3.29212e+09 	 7.9733e+17 	 1362 	 0.709243 	 9777.96 	 0.256732
158.865 	 27.7071 	 0.750186 	 65082.7 	 761.06 	 5.8742 	 9.34969 	 2.09613e+47 	 1.08036e+10 	 1.05523e+17 	 1332 	 0.133347 	 9680.06 	 0.17493
160.144 	 27.7144 	 0.747528 	 103204 	 1951.02 	 61.6212 	 9.4116 	 2.059e+48 	 2.72873e+09 	 1.09967e+18 	 1363 	 0.793663 	 9502.8 	 0.273291
160.967 	 27.7191 	 0.762042 	 66581.3 	 822.103 	 7.0126 	 9.3503 	 2.63546e+47 	 9.77883e+09 	 1.25965e+17 	 1331 	 0.156585 	 9362.97 	 0.181466
162.005 	 27.725 	 0.758002 	 108353 	 2211.08 	 83.0908 	 9.41143 	 2.43423e+48 	 2.2932e+09 	 1.48284e+18 	 1364 	 0.85461 	 9225.54 	 0.289597
163.22 	 27.7319 	 0.774727 	 67786.5 	 881.034 	 8.20048 	 9.35108 	 3.37006e+47 	 8.96551e+09 	 1.4729e+17 	 1330 	 0.188739 	 9040.9 	 0.187535
163.961 	 27.7362 	 0.768983 	 113228 	 2484.96 	 109.672 	 9.41142 	 2.78126e+48 	 1.95259e+09 	 1.95721e+18 	 1365 	 0.897114 	 8947.45 	 0.305612
165.627 	 27.7456 	 0.788243 	 68716.8 	 937.64 	 9.41654 	 9.35206 	 4.15887e+47 	 8.31365e+09 	 1.69115e+17 	 1329 	 0.221355 	 8715.74 	 0.193155
166.011 	 27.7478 	 0.78046 	 117847 	 2772.98 	 142.142 	 9.41157 	 3.1035e+48 	 1.68131e+09 	 2.53664e+18 	 1366 	 0.926528 	 8669.63 	 0.321303
168.151 	 27.7599 	 0.782503 	 119964 	 2962.68 	 166.219 	 9.47136 	 3.31843e+48 	 1.58553e+09 	 2.94759e+18 	 1367 	 0.939962 	 8419.21 	 0.331111
168.188 	 27.7601 	 0.792637 	 71605.3 	 1056.08 	 12.5273 	 9.41182 	 6.33225e+47 	 7.26636e+09 	 2.23554e+17 	 1328 	 0.29739 	 8389.11 	 0.204415
170.374 	 27.7725 	 0.794924 	 124092 	 3270.68 	 209.534 	 9.47075 	 3.60573e+48 	 1.38809e+09 	 3.71593e+18 	 1368 	 0.956119 	 8145.35 	 0.346229
170.895 	 27.7754 	 0.807754 	 71959.1 	 1107.82 	 13.8538 	 9.41228 	 7.25374e+47 	 6.89424e+09 	 2.47212e+17 	 1327 	 0.329305 	 8063.75 	 0.209075
172.687 	 27.7856 	 0.807817 	 127942 	 3589.84 	 260.243 	 9.47033 	 3.87446e+48 	 1.22641e+09 	 4.61542e+18 	 1369 	 0.967431 	 7874.34 	 0.360936
173.76 	 27.7916 	 0.823718 	 72084.8 	 1156.4 	 15.1228 	 9.41294 	 8.12584e+47 	 6.59498e+09 	 2.69839e+17 	 1326 	 0.35874 	 7739.89 	 0.213335
175.091 	 27.7991 	 0.821176 	 131495 	 3918.09 	 318.613 	 9.47013 	 4.12526e+48 	 1.09321e+09 	 5.65073e+18 	 1370 	 0.975426 	 7606.86 	 0.375208
176.785 	 27.8086 	 0.840533 	 71994.5 	 1201.54 	 16.3075 	 9.41384 	 8.92336e+47 	 6.35761e+09 	 2.9095e+17 	 1325 	 0.385274 	 7418.98 	 0.217215
177.583 	 27.8131 	 0.83499 	 134749 	 4254.05 	 384.89 	 9.47015 	 4.35924e+48 	 9.8257e+08 	 6.82615e+18 	 1371 	 0.981154 	 7343.6 	 0.389022
179.973 	 27.8264 	 0.858211 	 71717.8 	 1243.59 	 17.4041 	 9.41496 	 9.64058e+47 	 6.16924e+09 	 3.10478e+17 	 1324 	 0.409059 	 7102.12 	 0.220731
180.166 	 27.8275 	 0.84926 	 137708 	 4596.57 	 459.244 	 9.47041 	 4.57735e+48 	 8.89911e+08 	 8.14463e+18 	 1372 	 0.98532 	 7084.94 	 0.402362
182.827 	 27.8424 	 0.853975 	 138509 	 4813.19 	 509.446 	 9.52592 	 4.72976e+48 	 8.6493e+08 	 8.98231e+18 	 1373 	 0.987263 	 6853.97 	 0.41046
183.314 	 27.8451 	 0.866643 	 73113.9 	 1349.56 	 21.0192 	 9.47081 	 1.21214e+48 	 5.70981e+09 	 3.72758e+17 	 1323 	 0.474206 	 6791.3 	 0.229445
185.573 	 27.8577 	 0.869111 	 140963 	 5162.49 	 596.425 	 9.52542 	 4.92206e+48 	 7.92204e+08 	 1.05164e+19 	 1374 	 0.98983 	 6606.33 	 0.42297
186.817 	 27.8646 	 0.885939 	 72430.7 	 1384.47 	 21.9156 	 9.47147 	 1.26328e+48 	 5.61987e+09 	 3.88628e+17 	 1322 	 0.490992 	 6486.91 	 0.232181
188.407 	 27.8735 	 0.884684 	 143120 	 5513.56 	 690.696 	 9.52519 	 5.09836e+48 	 7.30508e+08 	 1.2179e+19 	 1375 	 0.991762 	 6364.44 	 0.434962
190.487 	 27.885 	 0.906103 	 71604.8 	 1415.92 	 22.6634 	 9.47238 	 1.30268e+48 	 5.56057e+09 	 4.01849e+17 	 1321 	 0.50497 	 6189.47 	 0.234607
191.329 	 27.8897 	 0.900695 	 144983 	 5864.8 	 791.679 	 9.52522 	 5.25879e+48 	 6.77941e+08 	 1.39595e+19 	 1376 	 0.993233 	 6128.45 	 0.446427
194.326 	 27.9062 	 0.927149 	 70652.3 	 1443.99 	 23.2603 	 9.47355 	 1.33075e+48 	 5.52872e+09 	 4.12382e+17 	 1320 	 0.516341 	 5899.6 	 0.23674
194.341 	 27.9063 	 0.91714 	 146569 	 6215.46 	 898.932 	 9.52552 	 5.4043e+48 	 6.32852e+08 	 1.58502e+19 	 1377 	 0.99437 	 5898.61 	 0.457358
197.426 	 27.9234 	 0.92395 	 146292 	 6422.34 	 963.172 	 9.57743 	 5.50203e+48 	 6.27112e+08 	 1.68909e+19 	 1378 	 0.994884 	 5694.39 	 0.463585
198.321 	 27.9283 	 0.93886 	 71159.8 	 1535.59 	 26.6405 	 9.526 	 1.53768e+48 	 5.2771e+09 	 4.69709e+17 	 1319 	 0.563912 	 5618.92 	 0.243714
200.599 	 27.9409 	 0.941233 	 147388 	 6763.96 	 1076.33 	 9.57702 	 5.61967e+48 	 5.90909e+08 	 1.8876e+19 	 1379 	 0.99565 	 5477.49 	 0.473586
202.489 	 27.9512 	 0.961546 	 69942.1 	 1556.53 	 26.906 	 9.52675 	 1.54002e+48 	 5.2984e+09 	 4.74353e+17 	 1318 	 0.569654 	 5346.82 	 0.245208
203.863 	 27.9588 	 0.958953 	 148225 	 7100.67 	 1192.87 	 9.57689 	 5.72284e+48 	 5.59681e+08 	 2.09202e+19 	 1380 	 0.996259 	 5266.88 	 0.483038
206.832 	 27.975 	 0.985126 	 68638.1 	 1574.13 	 27.0078 	 9.52778 	 1.53212e+48 	 5.34101e+09 	 4.76096e+17 	 1317 	 0.573306 	 5083.67 	 0.246458
207.218 	 27.9771 	 0.977109 	 148797 	 7429.56 	 1310.99 	 9.57706 	 5.81072e+48 	 5.32887e+08 	 2.29914e+19 	 1381 	 0.996745 	 5062.63 	 0.491941
210.655 	 27.9959 	 0.985599 	 147711 	 7603.41 	 1370.04 	 9.6262 	 5.86076e+48 	 5.35378e+08 	 2.39043e+19 	 1382 	 0.99694 	 4881.13 	 0.496521
211.342 	 27.9996 	 0.999392 	 68642.2 	 1654.28 	 29.9853 	 9.57742 	 1.69741e+48 	 5.18867e+09 	 5.25843e+17 	 1316 	 0.609306 	 4830.23 	 0.252275
