# Reverse Shock Dynamics
# t_e (s) 	 t_a (s) 	 delt_a (s) 	 B_eq (G) 	 Gamma_e 	 E_syn (keV) 	 Gamma_r 	 L_diss (erg/s) 	 nu_c (Hz) 	 nu_m (Hz) 	 shell_ind

158318 	 7.14899 	 3.29301 	 311.653 	 31668.8 	 807.656 	 155.04 	 8.47021e+48 	 5.10624e+15 	 8.74945e+17 	 338
159408 	 7.17167 	 3.30987 	 309.24 	 31611.3 	 799.197 	 155.176 	 8.41695e+48 	 5.17359e+15 	 8.65021e+17 	 339
160500 	 7.19435 	 3.32672 	 306.876 	 31557.9 	 791.101 	 155.312 	 8.36537e+48 	 5.24063e+15 	 8.55508e+17 	 340
161595 	 7.21704 	 3.34355 	 304.521 	 31500.8 	 782.879 	 155.448 	 8.31325e+48 	 5.30927e+15 	 8.45875e+17 	 341
162692 	 7.23973 	 3.36036 	 302.194 	 31443.7 	 774.758 	 155.584 	 8.26163e+48 	 5.37864e+15 	 8.36369e+17 	 342
163791 	 7.26243 	 3.37717 	 299.893 	 31386.5 	 766.735 	 155.72 	 8.21049e+48 	 5.44875e+15 	 8.26987e+17 	 343
164892 	 7.28514 	 3.39396 	 297.619 	 31329.3 	 758.811 	 155.855 	 8.15983e+48 	 5.5196e+15 	 8.17727e+17 	 344
165995 	 7.30785 	 3.41073 	 295.39 	 31276.2 	 751.229 	 155.991 	 8.11078e+48 	 5.59009e+15 	 8.08854e+17 	 345
167101 	 7.33057 	 3.4275 	 293.167 	 31219 	 743.492 	 156.126 	 8.06104e+48 	 5.66243e+15 	 7.99829e+17 	 346
168208 	 7.35329 	 3.44425 	 290.969 	 31161.6 	 735.848 	 156.262 	 8.01176e+48 	 5.73553e+15 	 7.9092e+17 	 347
169318 	 7.37602 	 3.46099 	 288.814 	 31108.4 	 728.535 	 156.397 	 7.96405e+48 	 5.80825e+15 	 7.82384e+17 	 348
170430 	 7.39875 	 3.47771 	 286.667 	 31051.5 	 721.099 	 156.532 	 7.91577e+48 	 5.88275e+15 	 7.7373e+17 	 349
1.09952e+07 	 3261.81 	 9670.16 	 4.35063 	 29752.6 	 1.53023 	 23.84 	 1.1506e+47 	 2.1766e+14 	 1.07807e+16 	 699
