# Thermal Dynamics
# t_e (s) 	 t_a (s) 	 delt_a (s) 	 T_phot (K) 	 L_phot (erg/s) 	 R_phot (cm/c) 

61.7113 	 0.00240707 	 0.00240698 	 4.93075e+07 	 4.4982e+48 	 61.7089
61.7985 	 0.0224113 	 0.00241134 	 4.92599e+07 	 4.49385e+48 	 61.7761
61.5327 	 0.0423927 	 0.00239278 	 4.94633e+07 	 4.51242e+48 	 61.4903
60.9222 	 0.0623512 	 0.00235203 	 4.99185e+07 	 4.55394e+48 	 60.8599
59.9835 	 0.0822906 	 0.00229061 	 5.0628e+07 	 4.61867e+48 	 59.9012
58.7397 	 0.102211 	 0.00221064 	 5.15967e+07 	 4.70704e+48 	 58.6375
57.2203 	 0.122116 	 0.00211476 	 5.28314e+07 	 4.81967e+48 	 57.0981
55.4589 	 0.142006 	 0.00200596 	 5.43409e+07 	 4.95738e+48 	 55.3169
53.4927 	 0.161888 	 0.00188736 	 5.61361e+07 	 5.12115e+48 	 53.3308
51.3601 	 0.181763 	 0.00176212 	 5.82299e+07 	 5.31217e+48 	 51.1783
49.1 	 0.201633 	 0.00163324 	 6.06371e+07 	 5.53177e+48 	 48.8983
46.7502 	 0.221504 	 0.00150346 	 6.33746e+07 	 5.7815e+48 	 46.5287
44.3464 	 0.241375 	 0.00137522 	 6.64609e+07 	 6.06306e+48 	 44.105
41.9215 	 0.26125 	 0.00125053 	 6.99167e+07 	 6.37833e+48 	 41.6602
39.5048 	 0.281132 	 0.00113102 	 7.37644e+07 	 6.72934e+48 	 39.2236
37.1218 	 0.301018 	 0.00101792 	 7.8028e+07 	 7.1183e+48 	 36.8208
34.7943 	 0.320911 	 0.000912076 	 8.27335e+07 	 7.54757e+48 	 34.4734
32.5397 	 0.340813 	 0.000814004 	 8.79085e+07 	 8.01967e+48 	 32.1989
30.372 	 0.360723 	 0.000723934 	 9.35819e+07 	 8.53724e+48 	 30.0113
28.3015 	 0.380642 	 0.000641861 	 9.97845e+07 	 9.10308e+48 	 27.9209
26.3356 	 0.400568 	 0.000567592 	 1.06548e+08 	 9.72011e+48 	 25.935
24.4786 	 0.420502 	 0.000500795 	 1.13906e+08 	 1.03913e+49 	 24.0581
22.7326 	 0.440441 	 0.000441041 	 1.21892e+08 	 1.11199e+49 	 22.2922
21.0978 	 0.460388 	 0.000387838 	 1.30542e+08 	 1.1909e+49 	 20.6374
19.5726 	 0.480341 	 0.00034066 	 1.39892e+08 	 1.2762e+49 	 19.0923
18.1542 	 0.500299 	 0.00029897 	 1.49979e+08 	 1.36822e+49 	 17.6539
16.8389 	 0.520262 	 0.000262241 	 1.60839e+08 	 1.46729e+49 	 16.3187
15.6222 	 0.54023 	 0.000229962 	 1.7251e+08 	 1.57377e+49 	 15.082
14.4991 	 0.560202 	 0.000201653 	 1.8503e+08 	 1.68798e+49 	 13.9389
13.4643 	 0.580177 	 0.000176868 	 1.98435e+08 	 1.81027e+49 	 12.8841
12.5124 	 0.600155 	 0.000155196 	 2.12763e+08 	 1.94098e+49 	 11.9122
11.6379 	 0.620136 	 0.000136265 	 2.28048e+08 	 2.08043e+49 	 11.0178
10.8356 	 0.64012 	 0.000119739 	 2.44327e+08 	 2.22894e+49 	 10.1955
10.1001 	 0.660106 	 0.000105319 	 2.61634e+08 	 2.38682e+49 	 9.43995
9.42638 	 0.680093 	 9.27394e-05 	 2.79999e+08 	 2.55436e+49 	 8.74628
8.80973 	 0.700082 	 8.1764e-05 	 2.99455e+08 	 2.73185e+49 	 8.10965
8.2456 	 0.720072 	 7.21861e-05 	 3.20029e+08 	 2.91955e+49 	 7.52553
7.72972 	 0.740064 	 6.38242e-05 	 3.41748e+08 	 3.11768e+49 	 6.98966
7.25813 	 0.760056 	 5.65196e-05 	 3.64635e+08 	 3.32647e+49 	 6.49807
6.82712 	 0.78005 	 5.01342e-05 	 3.88711e+08 	 3.54611e+49 	 6.04707
6.43328 	 0.800045 	 4.45473e-05 	 4.13993e+08 	 3.77676e+49 	 5.63323
6.07344 	 0.82004 	 3.96545e-05 	 4.40496e+08 	 4.01854e+49 	 5.2534
5.74469 	 0.840035 	 3.53649e-05 	 4.6823e+08 	 4.27154e+49 	 4.90466
5.44437 	 0.860032 	 3.15999e-05 	 4.97202e+08 	 4.53584e+49 	 4.58433
5.17001 	 0.880028 	 2.82912e-05 	 5.27413e+08 	 4.81146e+49 	 4.28998
4.91939 	 0.900025 	 2.53797e-05 	 5.58863e+08 	 5.09836e+49 	 4.01936
4.69044 	 0.920023 	 2.28144e-05 	 5.91544e+08 	 5.39651e+49 	 3.77042
