# Spectrum Count Rate
# Energy bin (keV) 	 Rate (c/s) 	 Uncertainty (c/s)
10.2721 1.87863e+47 0
10.831 1.73068e+47 0
11.4203 1.59343e+47 0
12.0417 1.46625e+47 0
12.6969 1.34855e+47 0
13.3878 1.23975e+47 0
14.1162 1.13926e+47 0
14.8843 1.04655e+47 0
15.6942 9.61078e+46 0
16.5482 8.82342e+46 0
17.4486 8.09857e+46 0
18.398 7.43165e+46 0
19.3991 6.81834e+46 0
20.4546 6.25457e+46 0
21.5676 5.73651e+46 0
22.7411 5.26061e+46 0
23.9785 4.82353e+46 0
25.2832 4.4222e+46 0
26.6589 4.05375e+46 0
28.1095 3.71553e+46 0
29.639 3.40511e+46 0
31.2517 3.12022e+46 0
32.9522 2.8588e+46 0
34.7452 2.61893e+46 0
36.6357 2.39885e+46 0
38.6291 2.19695e+46 0
40.731 2.01173e+46 0
42.9473 1.84184e+46 0
45.2841 1.68602e+46 0
47.7481 1.54313e+46 0
50.3462 1.41209e+46 0
53.0856 1.29193e+46 0
55.9741 1.18178e+46 0
59.0197 1.08079e+46 0
62.2311 9.88235e+45 0
65.6172 9.03405e+45 0
69.1876 8.25669e+45 0
72.9522 7.54445e+45 0
76.9217 6.89196e+45 0
81.1071 6.29431e+45 0
85.5203 5.74697e+45 0
90.1737 5.24579e+45 0
95.0802 4.78697e+45 0
100.254 4.36701e+45 0
105.709 3.98268e+45 0
111.46 3.63105e+45 0
117.525 3.30939e+45 0
123.92 3.01523e+45 0
130.663 2.74628e+45 0
137.772 2.50044e+45 0
145.269 2.27578e+45 0
153.173 2.07055e+45 0
161.508 1.8831e+45 0
170.296 1.71196e+45 0
179.562 1.55575e+45 0
189.332 1.41323e+45 0
199.634 1.28322e+45 0
210.496 1.16469e+45 0
221.95 1.05666e+45 0
234.027 9.58226e+44 0
246.76 8.68583e+44 0
260.187 7.86977e+44 0
274.344 7.12718e+44 0
289.272 6.45175e+44 0
305.012 5.83768e+44 0
321.608 5.27965e+44 0
339.107 4.7728e+44 0
357.559 4.31264e+44 0
377.014 3.89508e+44 0
397.528 3.51637e+44 0
419.159 3.17307e+44 0
441.966 2.86201e+44 0
466.014 2.58033e+44 0
491.371 2.32537e+44 0
518.107 2.09473e+44 0
546.298 1.88618e+44 0
576.023 1.69772e+44 0
607.366 1.52748e+44 0
640.414 1.3738e+44 0
675.26 1.23513e+44 0
712.002 1.11006e+44 0
750.744 9.97313e+43 0
791.593 8.95727e+43 0
834.665 8.04239e+43 0
880.081 7.21881e+43 0
927.968 6.47775e+43 0
978.46 5.81121e+43 0
1031.7 5.21196e+43 0
1087.84 4.6734e+43 0
1147.03 4.18958e+43 0
1209.44 3.75508e+43 0
1275.25 3.365e+43 0
1344.64 3.01493e+43 0
1417.8 2.70084e+43 0
1494.95 2.41911e+43 0
1576.29 2.16649e+43 0
1662.06 1.94001e+43 0
1752.49 1.73702e+43 0
1847.85 1.55512e+43 0
1948.4 1.39214e+43 0
2054.41 1.24615e+43 0
2166.2 1.11539e+43 0
2284.06 9.98294e+42 0
2408.34 8.93444e+42 0
2539.39 7.99569e+42 0
2677.56 7.15531e+42 0
2823.25 6.40304e+42 0
2976.87 5.72969e+42 0
3138.84 5.12704e+42 0
3309.63 4.58768e+42 0
3489.72 4.10499e+42 0
3679.6 3.67303e+42 0
3879.81 3.28649e+42 0
4090.92 2.94061e+42 0
4313.52 2.6311e+42 0
4548.22 2.35416e+42 0
4795.7 2.10636e+42 0
5056.64 1.88463e+42 0
5331.78 1.68624e+42 0
5621.9 1.50873e+42 0
5927.8 1.3499e+42 0
6250.34 1.20779e+42 0
6590.43 1.08064e+42 0
6949.03 9.66873e+41 0
7327.14 8.65081e+41 0
7725.82 7.74005e+41 0
8146.2 6.92517e+41 0
8589.45 6.19607e+41 0
9056.82 5.54372e+41 0
9549.62 4.96004e+41 0
10069.2 4.43782e+41 0
10617.1 3.97057e+41 0
11194.8 3.55252e+41 0
11803.9 3.17847e+41 0
12446.2 2.84381e+41 0
13123.4 2.54438e+41 0
13837.5 2.27648e+41 0
14590.4 2.03678e+41 0
15384.3 1.82232e+41 0
