# Spectrum Count Rate
# Energy bin (keV) 	 Rate (c/s) 	 Uncertainty (c/s)
1.12946e-09 2.03036e+45 0
1.42191e-09 1.73924e+45 0
1.79008e-09 1.49519e+45 0
2.25357e-09 1.28769e+45 0
2.83708e-09 1.10386e+45 0
3.57167e-09 9.54266e+44 0
4.49647e-09 8.16672e+44 0
5.66072e-09 7.00762e+44 0
7.12643e-09 6.01168e+44 0
8.97164e-09 5.17948e+44 0
1.12946e-08 4.43588e+44 0
1.42191e-08 3.8153e+44 0
1.79008e-08 3.27215e+44 0
2.25357e-08 2.80594e+44 0
2.83708e-08 2.40699e+44 0
3.57167e-08 2.06574e+44 0
4.49647e-08 1.77532e+44 0
5.66072e-08 1.52168e+44 0
7.12643e-08 1.30438e+44 0
8.97164e-08 1.11814e+44 0
1.12946e-07 9.59317e+43 0
1.42191e-07 8.22812e+43 0
1.79008e-07 7.05593e+43 0
2.25357e-07 6.05255e+43 0
2.83708e-07 5.19043e+43 0
3.57167e-07 4.45193e+43 0
4.49647e-07 3.81805e+43 0
5.66072e-07 3.27445e+43 0
7.12643e-07 2.80819e+43 0
8.97164e-07 2.40849e+43 0
1.12946e-06 2.06551e+43 0
1.42191e-06 1.77133e+43 0
1.79008e-06 1.51912e+43 0
2.25357e-06 1.3027e+43 0
2.83708e-06 1.11706e+43 0
3.57168e-06 9.57842e+42 0
4.49647e-06 8.21269e+42 0
5.66072e-06 7.0408e+42 0
7.12643e-06 6.03566e+42 0
8.97164e-06 5.17325e+42 0
1.12946e-05 4.43328e+42 0
1.42191e-05 3.79833e+42 0
1.79008e-05 3.25344e+42 0
2.25357e-05 2.78574e+42 0
2.83708e-05 2.38425e+42 0
3.57167e-05 2.03952e+42 0
4.49647e-05 1.74344e+42 0
5.66072e-05 1.48908e+42 0
7.12643e-05 1.27048e+42 0
8.97164e-05 1.08255e+42 0
0.000112946 9.20912e+41 0
0.000142191 7.81832e+41 0
0.000179008 6.62128e+41 0
0.000225357 5.59082e+41 0
0.000283708 4.70324e+41 0
0.000357168 3.93913e+41 0
0.000449647 3.2821e+41 0
0.000566072 2.71806e+41 0
0.000712643 2.23539e+41 0
0.000897164 1.82422e+41 0
0.00112946 1.47619e+41 0
0.00142191 1.18407e+41 0
0.00179008 9.4135e+40 0
0.00225357 7.41967e+40 0
0.00283708 5.80135e+40 0
0.00357168 4.5032e+40 0
0.00449647 3.47307e+40 0
0.00566072 2.66334e+40 0
0.00712643 2.032e+40 0
0.00897164 1.54319e+40 0
0.0112946 1.16702e+40 0
0.0142191 8.79108e+39 0
0.0179008 6.5983e+39 0
0.0225357 4.9357e+39 0
0.0283708 3.68032e+39 0
0.0357168 2.73608e+39 0
0.0449647 2.02844e+39 0
0.0566072 1.49997e+39 0
0.0712643 1.10664e+39 0
0.0897164 8.14819e+38 0
0.112946 5.98948e+38 0
0.142191 4.39669e+38 0
0.179008 3.22388e+38 0
0.225357 2.36162e+38 0
0.283708 1.72829e+38 0
0.357168 1.2634e+38 0
0.449647 9.22311e+37 0
0.566072 6.72178e+37 0
0.712643 4.88874e+37 0
0.897165 3.54668e+37 0
1.12946 2.56531e+37 0
1.42191 1.84887e+37 0
1.79008 1.32695e+37 0
2.25358 9.47796e+36 0
2.83708 6.73352e+36 0
3.57167 4.75601e+36 0
4.49647 3.33906e+36 0
5.66072 2.33038e+36 0
7.12643 1.61749e+36 0
8.97164 1.11736e+36 0
11.2946 7.68874e+35 0
14.2191 5.27436e+35 0
17.9008 3.6087e+35 0
22.5357 2.46297e+35 0
28.3708 1.67667e+35 0
35.7167 1.13818e+35 0
44.9647 7.70294e+34 0
56.6073 5.19636e+34 0
71.2643 3.49377e+34 0
89.7164 2.34115e+34 0
112.946 1.56356e+34 0
142.191 1.04085e+34 0
179.008 6.90691e+33 0
225.357 4.56919e+33 0
283.708 3.01357e+33 0
357.168 1.98167e+33 0
449.647 1.29928e+33 0
566.072 8.49379e+32 0
712.643 5.53639e+32 0
897.164 3.5981e+32 0
