# Spectrum Count Rate
# Energy bin (keV) 	 Rate (c/s) 	 Uncertainty (c/s)
1.09425e-06 9.98261e+49 0
1.30052e-06 8.88769e+49 0
1.54567e-06 7.91326e+49 0
1.83703e-06 7.0483e+49 0
2.18332e-06 6.27974e+49 0
2.59488e-06 5.59059e+49 0
3.08402e-06 4.97833e+49 0
3.66536e-06 4.43191e+49 0
4.35629e-06 3.94438e+49 0
5.17746e-06 3.50973e+49 0
6.15343e-06 3.12195e+49 0
7.31336e-06 2.77599e+49 0
8.69195e-06 2.46731e+49 0
1.03304e-05 2.19183e+49 0
1.22777e-05 1.94593e+49 0
1.45921e-05 1.72636e+49 0
1.73427e-05 1.53026e+49 0
2.06119e-05 1.35508e+49 0
2.44972e-05 1.19852e+49 0
2.9115e-05 1.05857e+49 0
3.46033e-05 9.33416e+48 0
4.11261e-05 8.21464e+48 0
4.88784e-05 7.21296e+48 0
5.80921e-05 6.31658e+48 0
6.90426e-05 5.51445e+48 0
8.20573e-05 4.79684e+48 0
9.75253e-05 4.15524e+48 0
0.000115909 3.58221e+48 0
0.000137758 3.0713e+48 0
0.000163726 2.61692e+48 0
0.000194589 2.21421e+48 0
0.000231269 1.85897e+48 0
0.000274864 1.54749e+48 0
0.000326676 1.27642e+48 0
0.000388255 1.04267e+48 0
0.000461442 8.43237e+47 0
0.000548425 6.7513e+47 0
0.000651804 5.35282e+47 0
0.000774671 4.20536e+47 0
0.000920698 3.27679e+47 0
0.00109425 2.53521e+47 0
0.00130052 1.95002e+47 0
0.00154567 1.49299e+47 0
0.00183703 1.13905e+47 0
0.00218332 8.66755e+46 0
0.00259488 6.58307e+46 0
0.00308402 4.99312e+46 0
0.00366537 3.78347e+46 0
0.00435629 2.86475e+46 0
0.00517747 2.16779e+46 0
0.00615343 1.63946e+46 0
0.00731336 1.23916e+46 0
0.00869195 9.35992e+45 0
0.0103304 7.06467e+45 0
0.0122777 5.32763e+45 0
0.0145921 4.01364e+45 0
0.0173427 3.02017e+45 0
0.0206119 2.26951e+45 0
0.0244973 1.70273e+45 0
0.029115 1.27516e+45 0
0.0346033 9.52942e+44 0
0.0411261 7.10422e+44 0
0.0488784 5.28159e+44 0
0.0580921 3.91424e+44 0
0.0690426 2.89062e+44 0
0.0820573 2.12626e+44 0
0.0975253 1.55719e+44 0
0.115909 1.135e+44 0
0.137758 8.23057e+43 0
0.163726 5.93657e+43 0
0.194589 4.2585e+43 0
0.231269 3.03818e+43 0
0.274864 2.15631e+43 0
0.326676 1.52317e+43 0
0.388255 1.07155e+43 0
0.461442 7.51344e+42 0
0.548425 5.25524e+42 0
0.651805 3.66949e+42 0
0.774671 2.55947e+42 0
0.920699 1.78407e+42 0
1.09425 1.24312e+42 0
1.30052 8.65981e+41 0
1.54567 6.03159e+41 0
1.83703 4.20048e+41 0
2.18332 2.92496e+41 0
2.59488 2.03659e+41 0
3.08402 1.41793e+41 0
3.66537 9.87149e+40 0
4.3563 6.8721e+40 0
5.17747 4.78388e+40 0
6.15343 3.3301e+40 0
7.31337 2.31806e+40 0
8.69195 1.61355e+40 0
10.3304 1.12314e+40 0
12.2777 7.81765e+39 0
14.5921 5.44144e+39 0
17.3427 3.78743e+39 0
20.6119 2.63613e+39 0
24.4973 1.83477e+39 0
29.1151 1.27698e+39 0
34.6033 8.88746e+38 0
41.1261 6.18528e+38 0
48.8785 4.30454e+38 0
58.0922 2.99559e+38 0
69.0426 2.08461e+38 0
82.0574 1.45063e+38 0
97.5254 1.00944e+38 0
115.909 7.02416e+37 0
137.758 4.88769e+37 0
163.726 3.40102e+37 0
194.589 2.36654e+37 0
231.269 1.64671e+37 0
274.864 1.14582e+37 0
326.676 7.97296e+36 0
388.255 5.54779e+36 0
461.443 3.8603e+36 0
548.425 2.6861e+36 0
651.805 1.86906e+36 0
774.672 1.30054e+36 0
920.698 9.04948e+35 0
