# Spectrum Count Rate
# Energy bin (keV) 	 Rate (c/s) 	 Uncertainty (c/s)
15.221 7.67605e+47 0
15.6696 7.53928e+47 0
16.1314 7.40111e+47 0
16.6069 7.26178e+47 0
17.0963 7.12153e+47 0
17.6001 6.98058e+47 0
18.1188 6.83918e+47 0
18.6528 6.69756e+47 0
19.2026 6.55594e+47 0
19.7685 6.41455e+47 0
20.3511 6.27361e+47 0
20.9509 6.13332e+47 0
21.5684 5.99389e+47 0
22.204 5.85551e+47 0
22.8584 5.71836e+47 0
23.5321 5.58261e+47 0
24.2256 5.44842e+47 0
24.9396 5.31594e+47 0
25.6746 5.18529e+47 0
26.4313 5.05661e+47 0
27.2102 4.93e+47 0
28.0122 4.80556e+47 0
28.8377 4.68338e+47 0
29.6876 4.56352e+47 0
30.5626 4.44606e+47 0
31.4633 4.33104e+47 0
32.3906 4.2185e+47 0
33.3452 4.10848e+47 0
34.3279 4.001e+47 0
35.3396 3.89606e+47 0
36.3811 3.79368e+47 0
37.4533 3.69384e+47 0
38.5571 3.59654e+47 0
39.6935 3.50176e+47 0
40.8633 3.40948e+47 0
42.0676 3.31965e+47 0
43.3074 3.23225e+47 0
44.5838 3.14722e+47 0
45.8977 3.06453e+47 0
47.2504 2.98411e+47 0
48.643 2.90592e+47 0
50.0765 2.82989e+47 0
51.5524 2.75597e+47 0
53.0717 2.68407e+47 0
54.6358 2.61414e+47 0
56.246 2.5461e+47 0
57.9037 2.47989e+47 0
59.6102 2.41543e+47 0
61.367 2.35266e+47 0
63.1756 2.29149e+47 0
65.0375 2.23187e+47 0
66.9543 2.17372e+47 0
68.9275 2.11697e+47 0
70.9589 2.06157e+47 0
73.0502 2.00745e+47 0
75.2031 1.95454e+47 0
77.4195 1.90281e+47 0
79.7012 1.85218e+47 0
82.0501 1.80262e+47 0
84.4682 1.75406e+47 0
86.9576 1.70648e+47 0
89.5204 1.65983e+47 0
92.1588 1.61408e+47 0
94.8748 1.56918e+47 0
97.6709 1.52511e+47 0
100.549 1.48184e+47 0
103.513 1.43934e+47 0
106.564 1.3976e+47 0
109.704 1.35658e+47 0
112.937 1.31628e+47 0
116.266 1.27667e+47 0
119.692 1.23775e+47 0
123.22 1.19949e+47 0
126.851 1.1619e+47 0
130.59 1.12495e+47 0
134.439 1.08865e+47 0
138.401 1.05299e+47 0
142.48 1.01796e+47 0
146.679 9.83566e+46 0
151.001 9.49795e+46 0
155.452 9.1665e+46 0
160.033 8.84131e+46 0
164.75 8.52237e+46 0
169.605 8.20971e+46 0
174.604 7.90332e+46 0
179.749 7.60323e+46 0
185.047 7.30945e+46 0
190.501 7.02202e+46 0
196.115 6.74096e+46 0
201.895 6.46628e+46 0
207.845 6.19803e+46 0
213.971 5.93621e+46 0
220.277 5.68086e+46 0
226.769 5.43199e+46 0
233.452 5.18961e+46 0
240.332 4.95375e+46 0
247.415 4.72439e+46 0
254.707 4.50156e+46 0
262.213 4.28524e+46 0
269.941 4.07542e+46 0
277.897 3.87208e+46 0
286.087 3.67521e+46 0
294.518 3.48477e+46 0
303.198 3.30073e+46 0
312.134 3.12304e+46 0
321.333 2.95166e+46 0
330.803 2.78653e+46 0
340.553 2.62759e+46 0
350.589 2.47476e+46 0
360.922 2.32798e+46 0
371.559 2.18716e+46 0
382.509 2.05221e+46 0
393.782 1.92305e+46 0
405.388 1.79957e+46 0
417.335 1.68168e+46 0
429.635 1.56926e+46 0
442.297 1.46219e+46 0
455.332 1.36038e+46 0
468.751 1.26368e+46 0
482.566 1.17198e+46 0
496.788 1.08514e+46 0
511.429 1.00304e+46 0
526.502 9.25533e+45 0
542.019 8.5248e+45 0
557.993 7.83739e+45 0
574.438 7.19166e+45 0
591.368 6.58614e+45 0
608.796 6.01933e+45 0
626.739 5.48975e+45 0
645.21 4.99588e+45 0
664.225 4.53622e+45 0
683.801 4.10927e+45 0
703.954 3.71352e+45 0
724.7 3.3475e+45 0
746.058 3.00972e+45 0
768.046 2.69873e+45 0
790.682 2.4131e+45 0
813.984 2.15142e+45 0
837.974 1.91232e+45 0
862.67 1.69443e+45 0
888.095 1.49645e+45 0
914.268 1.3171e+45 0
941.213 1.15513e+45 0
968.952 1.00933e+45 0
997.509 8.78552e+44 0
1026.91 7.61659e+44 0
1057.17 6.57575e+44 0
1088.33 5.6526e+44 0
1120.4 4.83723e+44 0
1153.42 4.12015e+44 0
1187.42 3.49239e+44 0
1222.41 2.94538e+44 0
1258.44 2.4711e+44 0
1295.53 2.06199e+44 0
1333.71 1.71098e+44 0
1373.01 1.41149e+44 0
1413.48 1.15743e+44 0
1455.14 9.43207e+43 0
1498.02 7.63701e+43 0
1542.17 6.14253e+43 0
1587.62 4.90663e+43 0
1634.41 3.89167e+43 0
1682.58 3.06409e+43 0
1732.17 2.3943e+43 0
1783.22 1.85637e+43 0
1835.77 1.42775e+43 0
1889.88 1.08901e+43 0
1945.57 8.23544e+42 0
2002.91 6.17318e+42 0
2061.94 4.58541e+42 0
2122.71 3.37421e+42 0
2185.27 2.45906e+42 0
2249.67 1.77437e+42 0
2315.98 1.26725e+42 0
2384.23 8.95551e+41 0
2454.5 6.26029e+41 0
2526.84 4.32744e+41 0
2601.31 2.95701e+41 0
2677.97 1.99669e+41 0
2756.9 1.33185e+41 0
2838.15 8.77251e+40 0
2921.79 5.70366e+40 0
3007.9 3.65913e+40 0
3096.55 2.3154e+40 0
3187.81 1.44451e+40 0
3281.76 8.88124e+39 0
3378.48 5.37904e+39 0
3478.05 3.20787e+39 0
3580.55 1.88283e+39 0
3686.08 1.08713e+39 0
3794.71 6.1719e+38 0
3906.55 3.44356e+38 0
4021.68 1.88721e+38 0
4140.21 1.01538e+38 0
4262.22 5.36044e+37 0
4387.84 2.77513e+37 0
4517.16 1.4081e+37 0
4650.28 6.99831e+36 0
4787.34 3.4048e+36 0
4928.43 1.62053e+36 0
