# Spectrum Count Rate
# Energy bin (keV) 	 Rate (c/s) 	 Uncertainty (c/s)
8.17402 2.26884e+48 0
8.52964 2.08001e+48 0
8.90073 1.90587e+48 0
9.28796 1.74544e+48 0
9.69204 1.5978e+48 0
10.1137 1.46206e+48 0
10.5537 1.3374e+48 0
11.0129 1.22303e+48 0
11.492 1.11818e+48 0
11.9919 1.02216e+48 0
12.5137 9.34272e+47 0
13.0581 8.53891e+47 0
13.6262 7.80413e+47 0
14.219 7.13272e+47 0
14.8376 6.51942e+47 0
15.4831 5.95928e+47 0
16.1567 5.44776e+47 0
16.8596 4.98062e+47 0
17.5931 4.55399e+47 0
18.3585 4.16429e+47 0
19.1572 3.80826e+47 0
19.9907 3.48292e+47 0
20.8604 3.18557e+47 0
21.7679 2.91373e+47 0
22.715 2.66518e+47 0
23.7032 2.43788e+47 0
24.7344 2.22998e+47 0
25.8105 2.03982e+47 0
26.9334 1.86585e+47 0
28.1052 1.7067e+47 0
29.3279 1.5611e+47 0
30.6039 1.4279e+47 0
31.9353 1.30603e+47 0
33.3247 1.19454e+47 0
34.7745 1.09255e+47 0
36.2874 9.99252e+46 0
37.8661 9.13903e+46 0
39.5135 8.35832e+46 0
41.2325 7.64419e+46 0
43.0264 6.99099e+46 0
44.8983 6.39353e+46 0
46.8516 5.84708e+46 0
48.8899 5.34728e+46 0
51.0169 4.89016e+46 0
53.2365 4.47209e+46 0
55.5526 4.08974e+46 0
57.9694 3.74005e+46 0
60.4914 3.42025e+46 0
63.1231 3.12778e+46 0
65.8694 2.8603e+46 0
68.7351 2.61569e+46 0
71.7254 2.39199e+46 0
74.8459 2.18742e+46 0
78.1021 2.00033e+46 0
81.5 1.82925e+46 0
85.0457 1.67279e+46 0
88.7457 1.52971e+46 0
92.6067 1.39887e+46 0
96.6356 1.27922e+46 0
100.84 1.1698e+46 0
105.227 1.06973e+46 0
109.805 9.7823e+45 0
114.582 8.94552e+45 0
119.567 8.18032e+45 0
124.769 7.48057e+45 0
130.197 6.84067e+45 0
135.861 6.2555e+45 0
141.772 5.72038e+45 0
147.94 5.23104e+45 0
154.376 4.78356e+45 0
161.092 4.37435e+45 0
168.101 4.00015e+45 0
175.414 3.65796e+45 0
183.046 3.34504e+45 0
191.009 3.05888e+45 0
199.319 2.79721e+45 0
207.991 2.55792e+45 0
217.04 2.3391e+45 0
226.482 2.139e+45 0
236.336 1.95601e+45 0
246.617 1.78868e+45 0
257.347 1.63567e+45 0
268.543 1.49574e+45 0
280.226 1.36779e+45 0
292.417 1.25078e+45 0
305.139 1.14378e+45 0
318.415 1.04593e+45 0
332.267 9.56452e+44 0
