# Spectrum Count Rate
# Energy bin (keV) 	 Rate (c/s) 	 Uncertainty (c/s)
8.09546 7.41829e+47 0
8.28865 7.1601e+47 0
8.48645 6.91098e+47 0
8.68897 6.67061e+47 0
8.89632 6.43869e+47 0
9.10862 6.21493e+47 0
9.32599 5.99903e+47 0
9.54855 5.79074e+47 0
9.77641 5.58978e+47 0
10.0097 5.3959e+47 0
10.2486 5.20886e+47 0
10.4932 5.02841e+47 0
10.7436 4.85432e+47 0
11 4.68638e+47 0
11.2625 4.52436e+47 0
11.5312 4.36807e+47 0
11.8064 4.2173e+47 0
12.0882 4.07186e+47 0
12.3766 3.93155e+47 0
12.672 3.79621e+47 0
12.9744 3.66566e+47 0
13.284 3.53973e+47 0
13.601 3.41826e+47 0
13.9256 3.30108e+47 0
14.2579 3.18806e+47 0
14.5982 3.07904e+47 0
14.9465 2.97389e+47 0
15.3032 2.87246e+47 0
15.6684 2.77463e+47 0
16.0423 2.68026e+47 0
16.4252 2.58924e+47 0
16.8171 2.50145e+47 0
17.2185 2.41678e+47 0
17.6294 2.33511e+47 0
18.0501 2.25633e+47 0
18.4808 2.18035e+47 0
18.9218 2.10707e+47 0
19.3734 2.03638e+47 0
19.8357 1.9682e+47 0
20.3091 1.90244e+47 0
20.7937 1.83901e+47 0
21.2899 1.77783e+47 0
21.798 1.71882e+47 0
22.3182 1.66189e+47 0
22.8508 1.60699e+47 0
23.3961 1.55402e+47 0
23.9544 1.50293e+47 0
24.5261 1.45365e+47 0
25.1114 1.4061e+47 0
25.7106 1.36024e+47 0
26.3242 1.31599e+47 0
26.9524 1.2733e+47 0
27.5956 1.23211e+47 0
28.2541 1.19237e+47 0
28.9284 1.15403e+47 0
29.6187 1.11703e+47 0
30.3256 1.08132e+47 0
31.0492 1.04687e+47 0
31.7902 1.01361e+47 0
32.5488 9.81511e+46 0
33.3256 9.50527e+46 0
34.1209 9.20616e+46 0
34.9351 8.9174e+46 0
35.7688 8.63858e+46 0
36.6224 8.36935e+46 0
37.4964 8.10934e+46 0
38.3912 7.8582e+46 0
39.3073 7.61561e+46 0
40.2454 7.38124e+46 0
41.2058 7.15478e+46 0
42.1891 6.93592e+46 0
43.1959 6.72439e+46 0
44.2268 6.51989e+46 0
45.2822 6.32216e+46 0
46.3628 6.13094e+46 0
47.4692 5.94598e+46 0
48.602 5.76703e+46 0
49.7618 5.59386e+46 0
50.9494 5.42625e+46 0
52.1652 5.26397e+46 0
53.4101 5.10682e+46 0
54.6847 4.95461e+46 0
55.9897 4.80712e+46 0
57.3258 4.66417e+46 0
58.6938 4.5256e+46 0
60.0945 4.39121e+46 0
61.5286 4.26085e+46 0
62.9969 4.13436e+46 0
64.5003 4.01158e+46 0
66.0395 3.89236e+46 0
67.6155 3.77657e+46 0
69.229 3.66406e+46 0
70.8811 3.55471e+46 0
72.5726 3.4484e+46 0
74.3045 3.34499e+46 0
76.0777 3.24439e+46 0
77.8932 3.14648e+46 0
79.7521 3.05116e+46 0
81.6553 2.95833e+46 0
83.6039 2.8679e+46 0
85.599 2.77978e+46 0
87.6417 2.69388e+46 0
89.7332 2.61013e+46 0
91.8746 2.52845e+46 0
94.0671 2.44877e+46 0
96.3119 2.37102e+46 0
98.6103 2.29514e+46 0
100.964 2.22108e+46 0
103.373 2.14878e+46 0
105.84 2.07818e+46 0
108.366 2.00924e+46 0
110.952 1.94192e+46 0
113.599 1.87618e+46 0
116.31 1.81197e+46 0
119.086 1.74927e+46 0
121.928 1.68805e+46 0
124.838 1.62827e+46 0
127.817 1.5699e+46 0
130.867 1.51294e+46 0
133.99 1.45735e+46 0
137.187 1.40312e+46 0
140.461 1.35022e+46 0
143.813 1.29865e+46 0
147.245 1.24839e+46 0
150.759 1.19943e+46 0
154.357 1.15175e+46 0
158.04 1.10535e+46 0
161.812 1.06021e+46 0
165.673 1.01633e+46 0
169.627 9.73704e+45 0
173.675 9.32316e+45 0
177.819 8.92161e+45 0
182.063 8.5323e+45 0
186.408 8.15517e+45 0
190.856 7.7901e+45 0
195.411 7.43702e+45 0
200.074 7.09583e+45 0
204.849 6.76642e+45 0
209.737 6.44866e+45 0
214.742 6.14245e+45 0
219.867 5.84764e+45 0
225.114 5.56408e+45 0
230.486 5.29162e+45 0
235.986 5.03008e+45 0
241.618 4.77929e+45 0
247.384 4.53904e+45 0
253.287 4.30914e+45 0
259.332 4.08936e+45 0
265.52 3.87947e+45 0
271.857 3.67923e+45 0
278.344 3.48838e+45 0
284.987 3.30668e+45 0
291.788 3.13385e+45 0
298.751 2.9696e+45 0
305.88 2.81366e+45 0
313.18 2.66574e+45 0
320.654 2.52555e+45 0
328.306 2.39278e+45 0
336.14 2.26713e+45 0
344.162 2.14831e+45 0
352.375 2.03602e+45 0
360.784 1.92996e+45 0
369.394 1.82983e+45 0
378.209 1.73533e+45 0
387.235 1.6462e+45 0
396.476 1.56213e+45 0
405.937 1.48286e+45 0
415.625 1.40812e+45 0
425.543 1.33766e+45 0
435.698 1.27121e+45 0
446.096 1.20855e+45 0
456.741 1.14944e+45 0
467.641 1.09366e+45 0
478.801 1.041e+45 0
490.227 9.91259e+44 0
501.926 9.44258e+44 0
513.904 8.99813e+44 0
526.167 8.57759e+44 0
538.724 8.1794e+44 0
551.58 7.80209e+44 0
564.743 7.4443e+44 0
578.22 7.10477e+44 0
592.019 6.78232e+44 0
606.146 6.47587e+44 0
620.611 6.18441e+44 0
635.422 5.90701e+44 0
650.586 5.64282e+44 0
