# Internal Shock Dynamics
# t_e (s) 	 t_a (s) 	 delt_a (s) 	 B_eq (G) 	 Gamma_e 	 E_syn (keV) 	 Gamma_r 	 L_diss (erg/s) 	 nu_c (Hz) 	 nu_m (Hz) 	 shell_index 	 a_syn 	 tau 	 relvel

42303.6 	 6.13958 	 0.554568 	 56.1538 	 128.724 	 0.00302838 	 195.283 	 5.2289e+46 	 3.0779e+19 	 2.60461e+12 	 565 	 0.0668387 	 0.0200996 	 0.0769854
42557.9 	 6.14291 	 0.557901 	 63.25 	 165.282 	 0.00562377 	 195.283 	 6.64719e+46 	 2.12817e+19 	 4.83682e+12 	 566 	 0.0668387 	 0.0198003 	 0.0868877
42832.3 	 6.14651 	 0.556494 	 66.9626 	 187.652 	 0.00770899 	 196.16 	 7.50505e+46 	 1.80254e+19 	 6.60063e+12 	 567 	 0.0668387 	 0.0195113 	 0.0924064
42928 	 6.14776 	 0.562743 	 59.2706 	 147.675 	 0.00420696 	 195.285 	 6.97397e+46 	 2.54193e+19 	 3.61824e+12 	 549 	 0.0668387 	 0.0193652 	 0.0822751
43131.2 	 6.15042 	 0.560401 	 73.9156 	 231.847 	 0.0129894 	 196.155 	 9.1797e+46 	 1.32159e+19 	 1.11221e+13 	 568 	 0.0668387 	 0.0191831 	 0.102352
43355.5 	 6.15333 	 0.568323 	 63.6416 	 173.667 	 0.00624744 	 195.289 	 8.25718e+46 	 2.01321e+19 	 5.37304e+12 	 548 	 0.0668387 	 0.0189267 	 0.0889535
43453.6 	 6.15462 	 0.564602 	 80.7231 	 280.67 	 0.0207891 	 196.153 	 1.10014e+47 	 9.99589e+18 	 1.78007e+13 	 569 	 0.0668387 	 0.0188413 	 0.112276
43797.8 	 6.15909 	 0.564067 	 84.1743 	 310.036 	 0.0265686 	 197.022 	 1.20841e+47 	 8.83287e+18 	 2.26491e+13 	 570 	 0.0668387 	 0.0185463 	 0.117848
43842.4 	 6.15967 	 0.569651 	 70.7557 	 219.513 	 0.0111463 	 196.154 	 1.05505e+47 	 1.45814e+19 	 9.54396e+12 	 547 	 0.0668387 	 0.0184511 	 0.0996665
44159.8 	 6.16379 	 0.568766 	 90.7531 	 366.375 	 0.0400004 	 197.016 	 1.41367e+47 	 6.93187e+18 	 3.41004e+13 	 571 	 0.0668387 	 0.0181868 	 0.127746
44389 	 6.16675 	 0.57673 	 74.2095 	 247.526 	 0.0148647 	 196.158 	 1.19691e+47 	 1.23304e+19 	 1.27276e+13 	 546 	 0.0668387 	 0.0179098 	 0.105605
44544.1 	 6.16876 	 0.573734 	 97.1052 	 426.792 	 0.058079 	 197.013 	 1.63033e+47 	 5.561e+18 	 4.95133e+13 	 572 	 0.0668387 	 0.0177853 	 0.137583
44948.4 	 6.17397 	 0.57393 	 100.245 	 463.132 	 0.0709091 	 197.871 	 1.75915e+47 	 5.05124e+18 	 6.01889e+13 	 573 	 0.0668387 	 0.0174667 	 0.143132
45002.6 	 6.17466 	 0.579637 	 80.2543 	 297.553 	 0.0233315 	 197.014 	 1.45329e+47 	 9.65127e+18 	 1.98904e+13 	 545 	 0.0668387 	 0.0173695 	 0.115467
45368.4 	 6.17937 	 0.579334 	 106.33 	 530.847 	 0.0988123 	 197.864 	 1.99628e+47 	 4.1541e+18 	 8.38765e+13 	 574 	 0.0668387 	 0.0170905 	 0.152885
45682.7 	 6.18339 	 0.588364 	 82.7042 	 325.62 	 0.0287944 	 197.019 	 1.59879e+47 	 8.55905e+18 	 2.45469e+13 	 544 	 0.0668387 	 0.0168023 	 0.120614
45809.3 	 6.18502 	 0.58498 	 112.188 	 602.491 	 0.134294 	 197.862 	 2.24328e+47 	 3.46885e+18 	 1.13997e+14 	 575 	 0.0668387 	 0.0167095 	 0.162544
46266.5 	 6.19086 	 0.585803 	 114.95 	 645.218 	 0.158484 	 198.707 	 2.3889e+47 	 3.21567e+18 	 1.33958e+14 	 576 	 0.0668387 	 0.0163507 	 0.168006
46434.9 	 6.19299 	 0.592955 	 87.6239 	 377.651 	 0.0412117 	 197.864 	 1.87127e+47 	 7.08581e+18 	 3.49824e+13 	 543 	 0.0668387 	 0.0161799 	 0.129569
46740.2 	 6.19689 	 0.591835 	 120.493 	 723.534 	 0.208896 	 198.701 	 2.65258e+47 	 2.73537e+18 	 1.76573e+14 	 577 	 0.0668387 	 0.0159693 	 0.177532
47233.6 	 6.20314 	 0.593064 	 122.975 	 769.65 	 0.242261 	 199.541 	 2.80601e+47 	 2.5624e+18 	 2.03915e+14 	 578 	 0.0668387 	 0.0156373 	 0.1829
47263.7 	 6.20351 	 0.598465 	 91.8678 	 430.069 	 0.0562716 	 198.701 	 2.14951e+47 	 6.03579e+18 	 4.75648e+13 	 542 	 0.0668387 	 0.0155667 	 0.138027
47738.1 	 6.20952 	 0.599452 	 128.166 	 853.959 	 0.31082 	 199.532 	 3.08318e+47 	 2.2155e+18 	 2.61634e+14 	 579 	 0.0668387 	 0.0152587 	 0.192265
48169.5 	 6.21494 	 0.609894 	 92.7755 	 455.585 	 0.0637728 	 198.708 	 2.28623e+47 	 5.64278e+18 	 5.39035e+13 	 541 	 0.0668387 	 0.0149101 	 0.141902
48262.9 	 6.21612 	 0.606053 	 133.116 	 941.561 	 0.392451 	 199.53 	 3.36683e+47 	 1.93458e+18 	 3.3035e+14 	 580 	 0.0668387 	 0.0148524 	 0.201494
48799.2 	 6.22286 	 0.607764 	 135.22 	 993.265 	 0.445467 	 200.353 	 3.53243e+47 	 1.83532e+18 	 3.73436e+14 	 581 	 0.0668387 	 0.0145278 	 0.206701
49157.6 	 6.22732 	 0.617258 	 95.8957 	 506.923 	 0.0819504 	 199.535 	 2.56356e+47 	 4.9885e+18 	 6.89809e+13 	 540 	 0.0668387 	 0.0142693 	 0.149406
49353.1 	 6.22978 	 0.614685 	 139.832 	 1086.43 	 0.551125 	 200.35 	 3.82724e+47 	 1.62247e+18 	 4.62018e+14 	 582 	 0.0668387 	 0.0141565 	 0.215735
49919.8 	 6.23684 	 0.616716 	 141.646 	 1140.55 	 0.617781 	 201.165 	 3.99649e+47 	 1.55067e+18 	 5.15798e+14 	 583 	 0.0668387 	 0.0138117 	 0.220809
50232.4 	 6.2407 	 0.625613 	 98.3878 	 557.204 	 0.102004 	 200.354 	 2.83822e+47 	 4.49642e+18 	 8.55096e+13 	 539 	 0.0668387 	 0.0135948 	 0.156397
50501.7 	 6.24405 	 0.623935 	 145.918 	 1238.78 	 0.750744 	 201.16 	 4.30035e+47 	 1.38577e+18 	 6.26827e+14 	 584 	 0.0668387 	 0.0134502 	 0.229631
51097 	 6.25141 	 0.626259 	 147.458 	 1295.07 	 0.832504 	 201.966 	 4.47232e+47 	 1.33286e+18 	 6.92316e+14 	 585 	 0.0668387 	 0.0131387 	 0.234562
51396.9 	 6.25509 	 0.634974 	 100.289 	 606.101 	 0.123521 	 201.163 	 3.10806e+47 	 4.12128e+18 	 1.03131e+14 	 538 	 0.0668387 	 0.0129422 	 0.162876
51705.9 	 6.2589 	 0.633757 	 151.377 	 1397.54 	 0.995178 	 201.961 	 4.78214e+47 	 1.20304e+18 	 8.27619e+14 	 586 	 0.0668387 	 0.0127647 	 0.243158
52328 	 6.26653 	 0.636347 	 152.692 	 1456.35 	 1.0944 	 202.758 	 4.95806e+47 	 1.16269e+18 	 9.06558e+14 	 587 	 0.0668387 	 0.012463 	 0.247937
52654.7 	 6.2705 	 0.645364 	 101.634 	 653.31 	 0.146016 	 201.965 	 3.37098e+47 	 3.83333e+18 	 1.21429e+14 	 537 	 0.0668387 	 0.0122673 	 0.168847
52963.2 	 6.27429 	 0.644108 	 156.263 	 1562.53 	 1.28922 	 202.753 	 5.27201e+47 	 1.05881e+18 	 1.06797e+15 	 588 	 0.0668387 	 0.0121247 	 0.256297
53610.7 	 6.28216 	 0.646944 	 157.34 	 1623.13 	 1.4062 	 203.541 	 5.44933e+47 	 1.02813e+18 	 1.16036e+15 	 589 	 0.0668387 	 0.0118122 	 0.260918
54009 	 6.28697 	 0.656798 	 102.422 	 698.058 	 0.168657 	 202.757 	 3.62247e+47 	 3.61621e+18 	 1.39709e+14 	 536 	 0.0668387 	 0.0115991 	 0.174317
54271.6 	 6.29016 	 0.65495 	 160.592 	 1732.86 	 1.63585 	 203.536 	 5.76692e+47 	 9.43437e+17 	 1.34989e+15 	 590 	 0.0668387 	 0.0114871 	 0.269033
54943.1 	 6.29827 	 0.658011 	 161.441 	 1794.83 	 1.77096 	 204.315 	 5.94436e+47 	 9.20019e+17 	 1.45581e+15 	 591 	 0.0668387 	 0.011208 	 0.273492
55463 	 6.30449 	 0.669292 	 102.699 	 740.137 	 0.190851 	 203.542 	 3.86089e+47 	 3.4544e+18 	 1.57484e+14 	 535 	 0.0668387 	 0.0109415 	 0.179298
55629.1 	 6.3065 	 0.666249 	 164.352 	 1906.9 	 2.03505 	 204.312 	 6.26169e+47 	 8.50551e+17 	 1.67293e+15 	 592 	 0.0668387 	 0.0108763 	 0.281355
56323.3 	 6.31481 	 0.669518 	 165 	 1970.24 	 2.18926 	 205.08 	 6.43942e+47 	 8.32382e+17 	 1.79296e+15 	 593 	 0.0668387 	 0.0106098 	 0.285651
57020.2 	 6.3231 	 0.68286 	 102.517 	 779.51 	 0.212127 	 204.319 	 4.08555e+47 	 3.33622e+18 	 1.74375e+14 	 534 	 0.0668387 	 0.0103165 	 0.183801
57034.2 	 6.32327 	 0.677977 	 167.618 	 2084.91 	 2.49038 	 205.079 	 6.75755e+47 	 7.74298e+17 	 2.03958e+15 	 594 	 0.0668387 	 0.0103114 	 0.293258
57750.1 	 6.33178 	 0.681437 	 168.058 	 2148.81 	 2.66211 	 205.838 	 6.93308e+47 	 7.60459e+17 	 2.1722e+15 	 595 	 0.0668387 	 0.0100393 	 0.297388
58482.2 	 6.34042 	 0.685024 	 168.407 	 2212.82 	 2.83937 	 206.595 	 7.10786e+47 	 7.47838e+17 	 2.30833e+15 	 596 	 0.0668387 	 0.0097895 	 0.301429
58679.9 	 6.34273 	 0.692405 	 103.912 	 848.17 	 0.256451 	 205.838 	 4.48071e+47 	 3.11595e+18 	 2.09255e+14 	 533 	 0.0668387 	 0.00969003 	 0.191387
59222 	 6.34913 	 0.693747 	 170.662 	 2330.33 	 3.19097 	 206.587 	 7.42518e+47 	 7.0063e+17 	 2.59428e+15 	 597 	 0.0668387 	 0.00951343 	 0.308706
59974.3 	 6.35794 	 0.697505 	 170.821 	 2394.38 	 3.38415 	 207.334 	 7.59646e+47 	 6.91165e+17 	 2.74142e+15 	 598 	 0.0668387 	 0.00925972 	 0.312582
60447.1 	 6.36344 	 0.708073 	 102.831 	 881.405 	 0.275063 	 206.591 	 4.67377e+47 	 3.07452e+18 	 2.23624e+14 	 532 	 0.0668387 	 0.00908376 	 0.194921
60737.9 	 6.36685 	 0.706421 	 172.801 	 2513 	 3.77086 	 207.329 	 7.91053e+47 	 6.50931e+17 	 3.05476e+15 	 599 	 0.0668387 	 0.00899696 	 0.3196
61509.6 	 6.37583 	 0.710336 	 172.811 	 2577.57 	 3.98146 	 208.066 	 8.08009e+47 	 6.43664e+17 	 3.21394e+15 	 600 	 0.0668387 	 0.00875707 	 0.323314
