# Reverse Shock Dynamics
# t_e (s) 	 t_a (s) 	 delt_a (s) 	 B_eq (G) 	 Gamma_e 	 E_syn (keV) 	 Gamma_r 	 L_diss (erg/s) 	 nu_c (Hz) 	 nu_m (Hz) 	 shell_ind

22651 	 0.231414 	 0.218104 	 26.5743 	 8.26728 	 6.89813e-06 	 227.874 	 3.55546e+45 	 1.87754e+21 	 5.08432e+09 	 2
23777.4 	 0.24226 	 0.224801 	 43.9758 	 24.9471 	 0.000104898 	 229.967 	 1.0589e+46 	 3.89997e+20 	 7.66124e+10 	 3
24972.7 	 0.253561 	 0.231615 	 57.3145 	 46.7437 	 0.00048461 	 232.184 	 1.96065e+46 	 1.6595e+20 	 3.50555e+11 	 4
26222.2 	 0.265149 	 0.238544 	 68.0385 	 72.6289 	 0.00140235 	 234.44 	 3.01297e+46 	 9.35187e+19 	 1.00466e+12 	 5
27518.6 	 0.276943 	 0.245581 	 76.8037 	 101.925 	 0.00314767 	 236.7 	 4.1846e+46 	 6.13429e+19 	 2.23351e+12 	 6
28858 	 0.288896 	 0.252715 	 84.002 	 134.083 	 0.0060143 	 238.946 	 5.451e+46 	 4.42761e+19 	 4.22749e+12 	 7
30237.9 	 0.300981 	 0.25994 	 89.9163 	 168.672 	 0.0102824 	 241.17 	 6.79334e+46 	 3.41226e+19 	 7.16094e+12 	 8
31657 	 0.31318 	 0.267249 	 94.7429 	 205.256 	 0.01619 	 243.366 	 8.19341e+46 	 2.75949e+19 	 1.11733e+13 	 9
33114.2 	 0.325482 	 0.274639 	 98.647 	 243.478 	 0.023931 	 245.532 	 9.63683e+46 	 2.31486e+19 	 1.637e+13 	 10
34609 	 0.337879 	 0.282108 	 101.76 	 283.005 	 0.0336421 	 247.668 	 1.11106e+47 	 1.99867e+19 	 2.28145e+13 	 11
36140.8 	 0.350365 	 0.289652 	 104.199 	 323.582 	 0.0454174 	 249.771 	 1.26053e+47 	 1.76586e+19 	 3.05405e+13 	 12
37709.3 	 0.362937 	 0.297272 	 106.048 	 364.895 	 0.0592679 	 251.843 	 1.41095e+47 	 1.59031e+19 	 3.95263e+13 	 13
39314.4 	 0.37559 	 0.304964 	 107.395 	 406.757 	 0.0751859 	 253.883 	 1.56167e+47 	 1.45496e+19 	 4.97393e+13 	 14
40955.9 	 0.388323 	 0.312729 	 108.306 	 448.956 	 0.0931037 	 255.892 	 1.712e+47 	 1.34897e+19 	 6.11093e+13 	 15
42633.7 	 0.401135 	 0.320567 	 108.835 	 491.257 	 0.112885 	 257.87 	 1.86114e+47 	 1.26519e+19 	 7.35246e+13 	 16
44347.8 	 0.414024 	 0.328475 	 109.039 	 533.545 	 0.134413 	 259.817 	 2.0088e+47 	 1.19826e+19 	 8.68899e+13 	 17
46098.2 	 0.426988 	 0.336456 	 108.954 	 575.596 	 0.157467 	 261.734 	 2.15423e+47 	 1.14476e+19 	 1.01047e+14 	 18
47884.9 	 0.440029 	 0.344508 	 108.63 	 617.389 	 0.181927 	 263.623 	 2.2975e+47 	 1.10168e+19 	 1.15908e+14 	 19
49707.9 	 0.453145 	 0.352631 	 108.092 	 658.725 	 0.207533 	 265.482 	 2.43797e+47 	 1.06727e+19 	 1.31295e+14 	 20
51567.3 	 0.466336 	 0.360826 	 107.375 	 699.549 	 0.234104 	 267.314 	 2.57558e+47 	 1.03992e+19 	 1.47091e+14 	 21
53463.2 	 0.479602 	 0.369092 	 106.497 	 739.687 	 0.261351 	 269.118 	 2.70979e+47 	 1.01864e+19 	 1.63109e+14 	 22
55395.6 	 0.492943 	 0.377431 	 105.49 	 779.177 	 0.289156 	 270.896 	 2.84085e+47 	 1.00229e+19 	 1.79278e+14 	 23
57364.8 	 0.50636 	 0.385843 	 104.366 	 817.853 	 0.31722 	 272.647 	 2.96828e+47 	 9.9037e+18 	 1.95415e+14 	 24
59370.7 	 0.519852 	 0.394328 	 103.147 	 855.697 	 0.34537 	 274.372 	 3.09211e+47 	 9.82241e+18 	 2.11418e+14 	 25
61413.5 	 0.53342 	 0.402886 	 101.845 	 892.632 	 0.373386 	 276.073 	 3.21216e+47 	 9.77494e+18 	 2.2716e+14 	 26
63493.4 	 0.547065 	 0.411519 	 100.476 	 928.642 	 0.401109 	 277.749 	 3.32847e+47 	 9.75728e+18 	 2.42553e+14 	 27
65610.5 	 0.560786 	 0.420227 	 99.0486 	 963.621 	 0.42829 	 279.401 	 3.44075e+47 	 9.76762e+18 	 2.57458e+14 	 28
67764.9 	 0.574585 	 0.42901 	 97.5775 	 997.638 	 0.454879 	 281.029 	 3.54933e+47 	 9.80205e+18 	 2.71858e+14 	 29
69956.9 	 0.588463 	 0.43787 	 96.0691 	 1030.61 	 0.480666 	 282.635 	 3.65398e+47 	 9.85962e+18 	 2.85637e+14 	 30
72186.6 	 0.602419 	 0.446807 	 94.5315 	 1062.5 	 0.505521 	 284.218 	 3.7547e+47 	 9.93875e+18 	 2.98734e+14 	 31
74454.3 	 0.616455 	 0.455822 	 92.9724 	 1093.33 	 0.529341 	 285.779 	 3.85154e+47 	 1.00381e+19 	 3.11101e+14 	 32
76760.1 	 0.630572 	 0.464916 	 91.3973 	 1123.06 	 0.552013 	 287.319 	 3.94448e+47 	 1.01567e+19 	 3.22688e+14 	 33
79104.3 	 0.64477 	 0.474089 	 89.8129 	 1151.71 	 0.573487 	 288.837 	 4.03365e+47 	 1.02935e+19 	 3.33478e+14 	 34
81487 	 0.65905 	 0.483344 	 88.2216 	 1179.21 	 0.593613 	 290.335 	 4.11887e+47 	 1.04488e+19 	 3.43401e+14 	 35
83908.5 	 0.673414 	 0.49268 	 86.6293 	 1205.61 	 0.612392 	 291.812 	 4.20033e+47 	 1.06213e+19 	 3.52471e+14 	 36
86369.1 	 0.687862 	 0.5021 	 85.0419 	 1230.97 	 0.62986 	 293.27 	 4.27831e+47 	 1.08099e+19 	 3.60723e+14 	 37
88869 	 0.702395 	 0.511603 	 83.4578 	 1255.16 	 0.645813 	 294.708 	 4.35239e+47 	 1.10163e+19 	 3.68054e+14 	 38
91408.5 	 0.717015 	 0.521192 	 81.8821 	 1278.25 	 0.660309 	 296.127 	 4.42285e+47 	 1.12393e+19 	 3.74513e+14 	 39
93987.9 	 0.731722 	 0.530866 	 80.3165 	 1300.22 	 0.673312 	 297.527 	 4.48966e+47 	 1.14793e+19 	 3.8009e+14 	 40
96607.5 	 0.746518 	 0.540629 	 78.7652 	 1321.16 	 0.684907 	 298.909 	 4.55313e+47 	 1.17355e+19 	 3.84848e+14 	 41
99260.5 	 0.76138 	 0.551388 	 77.5119 	 1350.69 	 0.70708 	 300.015 	 4.64243e+47 	 1.18381e+19 	 3.95843e+14 	 42
101950 	 0.776318 	 0.561268 	 75.9876 	 1369.37 	 0.715687 	 301.364 	 4.69866e+47 	 1.21264e+19 	 3.98868e+14 	 43
104680 	 0.79135 	 0.571243 	 74.4808 	 1387.01 	 0.722869 	 302.695 	 4.75161e+47 	 1.24316e+19 	 4.01099e+14 	 44
107452 	 0.806478 	 0.581314 	 72.9908 	 1403.56 	 0.728557 	 304.008 	 4.80112e+47 	 1.27549e+19 	 4.02509e+14 	 45
110266 	 0.821702 	 0.591481 	 71.5215 	 1419.13 	 0.732936 	 305.305 	 4.84763e+47 	 1.30951e+19 	 4.03208e+14 	 46
113123 	 0.837025 	 0.601746 	 70.0726 	 1433.71 	 0.735987 	 306.586 	 4.89106e+47 	 1.34534e+19 	 4.03195e+14 	 47
116022 	 0.852448 	 0.612111 	 68.6446 	 1447.3 	 0.737753 	 307.85 	 4.93148e+47 	 1.383e+19 	 4.02503e+14 	 48
118964 	 0.867971 	 0.622576 	 67.2376 	 1459.9 	 0.73825 	 309.098 	 4.96887e+47 	 1.42259e+19 	 4.01148e+14 	 49
121950 	 0.883597 	 0.633144 	 65.8519 	 1471.52 	 0.73752 	 310.33 	 5.00327e+47 	 1.46417e+19 	 3.9916e+14 	 50
124980 	 0.899327 	 0.643816 	 64.4887 	 1482.22 	 0.735664 	 311.546 	 5.03489e+47 	 1.50775e+19 	 3.96601e+14 	 51
128054 	 0.915163 	 0.654593 	 63.1485 	 1492.03 	 0.732759 	 312.748 	 5.06385e+47 	 1.55335e+19 	 3.93517e+14 	 52
