# Thermal Dynamics
# t_e (s) 	 t_a (s) 	 delt_a (s) 	 T_phot (K) 	 L_phot (erg/s) 	 R_phot (cm/c) 	 shell_index

83.1942 	 0.000854492 	 0.000853177 	 1.07549e+07 	 5.96004e+46 	 83.1933 	 0
77.4273 	 0.0107574 	 0.000756742 	 1.14653e+07 	 6.35376e+46 	 77.4165 	 1
72.2522 	 0.0206757 	 0.000674171 	 1.21941e+07 	 6.7576e+46 	 72.2315 	 2
67.5944 	 0.0306015 	 0.000603136 	 1.29401e+07 	 7.17104e+46 	 67.5638 	 3
63.3901 	 0.0405426 	 0.000541748 	 1.37025e+07 	 7.59355e+46 	 63.3495 	 4
59.5847 	 0.0504875 	 0.000488469 	 1.44804e+07 	 8.0246e+46 	 59.5343 	 5
56.1316 	 0.0604439 	 0.000442036 	 1.52727e+07 	 8.46368e+46 	 56.0712 	 6
52.9903 	 0.0704002 	 0.000401412 	 1.60785e+07 	 8.91022e+46 	 52.9199 	 7
50.1258 	 0.0803642 	 0.000365735 	 1.68968e+07 	 9.36371e+46 	 50.0455 	 8
47.5079 	 0.0903358 	 0.000334291 	 1.77266e+07 	 9.82359e+46 	 47.4176 	 9
45.1102 	 0.100307 	 0.000306482 	 1.85671e+07 	 1.02893e+47 	 45.0099 	 10
42.9095 	 0.110283 	 0.000281807 	 1.94171e+07 	 1.07604e+47 	 42.7992 	 11
40.8857 	 0.120258 	 0.000259843 	 2.02759e+07 	 1.12363e+47 	 40.7654 	 12
39.021 	 0.130241 	 0.000240235 	 2.11424e+07 	 1.17165e+47 	 38.8907 	 13
37.2998 	 0.140224 	 0.000222677 	 2.20157e+07 	 1.22005e+47 	 37.1596 	 14
35.7083 	 0.150208 	 0.000206914 	 2.28949e+07 	 1.26877e+47 	 35.5581 	 15
34.2342 	 0.160194 	 0.000192722 	 2.37791e+07 	 1.31777e+47 	 34.074 	 16
32.8668 	 0.170181 	 0.000179913 	 2.46675e+07 	 1.367e+47 	 32.6966 	 17
31.5963 	 0.180168 	 0.000168324 	 2.55592e+07 	 1.41642e+47 	 31.4161 	 18
30.4141 	 0.190157 	 0.000157814 	 2.64534e+07 	 1.46597e+47 	 30.224 	 19
29.3126 	 0.200148 	 0.00014826 	 2.73493e+07 	 1.51562e+47 	 29.1125 	 20
28.2849 	 0.21014 	 0.000139557 	 2.82461e+07 	 1.56532e+47 	 28.0748 	 21
27.3247 	 0.220131 	 0.000131612 	 2.9143e+07 	 1.61502e+47 	 27.1046 	 22
26.4266 	 0.230124 	 0.000124346 	 3.00393e+07 	 1.66469e+47 	 26.1965 	 23
25.5855 	 0.240118 	 0.000117685 	 3.09343e+07 	 1.71429e+47 	 25.3454 	 24
