TimeObs (s) 	TimeJet (s) 	Rcoll (cm) 	DSGamma 	DSMass (g) 	UPGamma 	UPMass (g) 	Gammaf 	tau
8.74357e+00	7.10528e+03	2.12748e+14	8.80644e+01	2.52691e+26	8.82575e+01	2.52138e+26	8.81608e+01	3.19071e+24	
8.74357e+00	7.10532e+03	2.12750e+14	8.78726e+01	2.53242e+26	8.81608e+01	5.04829e+26	8.80644e+01	1.69183e-01	
8.74359e+00	7.10555e+03	2.12757e+14	8.80644e+01	7.58071e+26	8.84518e+01	2.51584e+26	8.81608e+01	1.69181e-01	
8.74359e+00	7.10564e+03	2.12759e+14	8.76820e+01	2.53793e+26	8.81608e+01	1.00966e+27	8.80644e+01	1.69081e-01	
8.74362e+00	7.10602e+03	2.12771e+14	8.80644e+01	1.26345e+27	8.86474e+01	2.51029e+26	8.81608e+01	1.69077e-01	
8.74363e+00	7.10617e+03	2.12775e+14	8.74928e+01	2.54342e+26	8.81608e+01	1.51448e+27	8.80644e+01	1.68969e-01	
8.74366e+00	7.10669e+03	2.12791e+14	8.80644e+01	1.76882e+27	8.88443e+01	2.50473e+26	8.81608e+01	1.68962e-01	
8.74367e+00	7.10690e+03	2.12797e+14	8.73047e+01	2.54890e+26	8.81608e+01	2.01929e+27	8.80644e+01	1.68848e-01	
8.74372e+00	7.10755e+03	2.12816e+14	8.80644e+01	2.27418e+27	8.90424e+01	2.49916e+26	8.81607e+01	1.68838e-01	
8.74373e+00	7.10783e+03	2.12825e+14	8.71180e+01	2.55436e+26	8.81607e+01	2.52410e+27	8.80644e+01	1.68717e-01	
8.74378e+00	7.10860e+03	2.12848e+14	8.80644e+01	2.77953e+27	8.92417e+01	2.49357e+26	8.81607e+01	1.68704e-01	
8.74381e+00	7.10897e+03	2.12859e+14	8.69326e+01	2.55981e+26	8.81607e+01	3.02889e+27	8.80644e+01	1.68578e-01	
8.74386e+00	7.10984e+03	2.12885e+14	8.80644e+01	3.28487e+27	8.94423e+01	2.48798e+26	8.81607e+01	1.68560e-01	
8.74389e+00	7.11031e+03	2.12899e+14	8.67484e+01	2.56524e+26	8.81607e+01	3.53367e+27	8.80644e+01	1.68429e-01	
8.74396e+00	7.11127e+03	2.12928e+14	8.80644e+01	3.79019e+27	8.96442e+01	2.48238e+26	8.81607e+01	1.68406e-01	
8.74399e+00	7.11187e+03	2.12946e+14	8.65655e+01	2.57066e+26	8.81607e+01	4.03843e+27	8.80644e+01	1.68271e-01	
8.74406e+00	7.11288e+03	2.12976e+14	8.80644e+01	4.29550e+27	8.98473e+01	2.47677e+26	8.81607e+01	1.68242e-01	
8.74411e+00	7.11364e+03	2.12999e+14	8.63839e+01	2.57607e+26	8.81607e+01	4.54317e+27	8.80644e+01	1.68104e-01	
8.74418e+00	7.11469e+03	2.13030e+14	8.80644e+01	4.80078e+27	9.00516e+01	2.47115e+26	8.81607e+01	1.68068e-01	
8.74424e+00	7.11562e+03	2.13059e+14	8.62035e+01	2.58146e+26	8.81607e+01	5.04790e+27	8.80644e+01	1.67928e-01	
8.74430e+00	7.11667e+03	2.13090e+14	8.80644e+01	5.30604e+27	9.02572e+01	2.46552e+26	8.81607e+01	1.67884e-01	
8.74438e+00	7.11782e+03	2.13124e+14	8.60245e+01	2.58683e+26	8.81607e+01	5.55259e+27	8.80645e+01	1.67743e-01	
8.74444e+00	7.11885e+03	2.13155e+14	8.80645e+01	5.81128e+27	9.04640e+01	2.45988e+26	8.81607e+01	1.67689e-01	
8.74453e+00	7.12023e+03	2.13197e+14	8.58467e+01	2.59219e+26	8.81607e+01	6.05726e+27	8.80645e+01	1.67550e-01	
8.74460e+00	7.12120e+03	2.13226e+14	8.80645e+01	6.31648e+27	9.06721e+01	2.45424e+26	8.81607e+01	1.67485e-01	
8.74470e+00	7.12287e+03	2.13276e+14	8.56702e+01	2.59753e+26	8.81607e+01	6.56191e+27	8.80645e+01	1.67348e-01	
8.74476e+00	7.12374e+03	2.13302e+14	8.80645e+01	6.82166e+27	9.08813e+01	2.44859e+26	8.81606e+01	1.67270e-01	
8.74489e+00	7.12572e+03	2.13361e+14	8.54951e+01	2.60285e+26	8.81606e+01	7.06652e+27	8.80645e+01	1.67138e-01	
8.74493e+00	7.12646e+03	2.13383e+14	8.80645e+01	7.32680e+27	9.10918e+01	2.44293e+26	8.81606e+01	1.67045e-01	
8.74508e+00	7.12880e+03	2.13453e+14	8.53212e+01	2.60815e+26	8.81606e+01	7.57110e+27	8.80646e+01	1.66919e-01	
8.74512e+00	7.12936e+03	2.13470e+14	8.80646e+01	7.83191e+27	9.13036e+01	2.43726e+26	8.81606e+01	1.66810e-01	
8.74530e+00	7.13210e+03	2.13552e+14	8.51486e+01	2.61344e+26	8.81606e+01	8.07564e+27	8.80646e+01	1.66692e-01	
8.74532e+00	7.13243e+03	2.13562e+14	8.80646e+01	8.33698e+27	9.15165e+01	2.43159e+26	8.81606e+01	1.66564e-01	
8.74552e+00	7.13562e+03	2.13658e+14	8.49773e+01	2.61871e+26	8.81606e+01	8.58014e+27	8.80646e+01	1.66457e-01	
8.74553e+00	7.13568e+03	2.13660e+14	8.80646e+01	8.84201e+27	9.17307e+01	2.42591e+26	8.81606e+01	1.66308e-01	
8.74575e+00	7.13911e+03	2.13762e+14	8.81606e+01	9.08460e+27	9.19461e+01	2.42023e+26	8.82569e+01	1.66305e-01	
8.74577e+00	7.13937e+03	2.13770e+14	8.48073e+01	2.62396e+26	8.82569e+01	9.32662e+27	8.81606e+01	1.66054e-01	
8.74598e+00	7.14270e+03	2.13870e+14	8.81606e+01	9.58902e+27	9.21627e+01	2.41454e+26	8.82568e+01	1.66042e-01	
8.74602e+00	7.14335e+03	2.13890e+14	8.46387e+01	2.62918e+26	8.82568e+01	9.83047e+27	8.81606e+01	1.65796e-01	
8.74622e+00	7.14647e+03	2.13983e+14	8.81606e+01	1.00934e+28	9.23806e+01	2.40885e+26	8.82568e+01	1.65766e-01	
8.74629e+00	7.14756e+03	2.14016e+14	8.44713e+01	2.63439e+26	8.82568e+01	1.03343e+28	8.81606e+01	1.65529e-01	
8.74647e+00	7.15041e+03	2.14101e+14	8.81606e+01	1.05977e+28	9.25996e+01	2.40315e+26	8.82568e+01	1.65479e-01	
8.74658e+00	7.15200e+03	2.14149e+14	8.43052e+01	2.63958e+26	8.82568e+01	1.08380e+28	8.81607e+01	1.65255e-01	
8.74674e+00	7.15452e+03	2.14225e+14	8.81607e+01	1.11020e+28	9.28199e+01	2.39745e+26	8.82567e+01	1.65182e-01	
8.74688e+00	7.15668e+03	2.14289e+14	8.41405e+01	2.64475e+26	8.82567e+01	1.13417e+28	8.81607e+01	1.64973e-01	
8.74701e+00	7.15880e+03	2.14353e+14	8.81607e+01	1.16062e+28	9.30413e+01	2.39174e+26	8.82567e+01	1.64874e-01	
8.74719e+00	7.16159e+03	2.14437e+14	8.39771e+01	2.64990e+26	8.82567e+01	1.18454e+28	8.81607e+01	1.64684e-01	
8.74730e+00	7.16326e+03	2.14486e+14	8.81607e+01	1.21104e+28	9.32640e+01	2.38603e+26	8.82567e+01	1.64556e-01	
8.74752e+00	7.16675e+03	2.14591e+14	8.38149e+01	2.65502e+26	8.82567e+01	1.23490e+28	8.81608e+01	1.64387e-01	
8.74760e+00	7.16788e+03	2.14625e+14	8.81608e+01	1.26145e+28	9.34879e+01	2.38032e+26	8.82567e+01	1.64227e-01	
8.74787e+00	7.17215e+03	2.14753e+14	8.36541e+01	2.66013e+26	8.82567e+01	1.28525e+28	8.81608e+01	1.64083e-01	
8.74790e+00	7.17267e+03	2.14769e+14	8.81608e+01	1.31185e+28	9.37129e+01	2.37460e+26	8.82567e+01	1.63888e-01	
8.74822e+00	7.17762e+03	2.14917e+14	8.82567e+01	1.33560e+28	9.39392e+01	2.36888e+26	8.83528e+01	1.63864e-01	
8.74823e+00	7.17779e+03	2.14922e+14	8.34947e+01	2.66521e+26	8.83528e+01	1.35929e+28	8.82567e+01	1.63546e-01	
8.74855e+00	7.18273e+03	2.15070e+14	8.82567e+01	1.38594e+28	9.41666e+01	2.36316e+26	8.83527e+01	1.63538e-01	
