TimeObs (s) 	TimeJet (s) 	Rcoll (cm) 	DSGamma 	DSMass (g) 	UPGamma 	UPMass (g) 	Gammaf 	tau
2.00013e+00	4.46634e+01	1.27901e+12	1.00000e+02	2.22531e+26	4.00000e+02	5.56327e+25	1.37199e+02	3.54169e+24	
2.00240e+00	1.29989e+02	3.83694e+12	1.00000e+02	2.22531e+26	1.37199e+02	2.78163e+26	1.19191e+02	2.06384e+03	
2.00240e+00	1.29994e+02	3.83707e+12	1.19191e+02	5.00694e+26	4.00000e+02	5.56327e+25	1.37400e+02	2.36398e+02	
2.00465e+00	2.15034e+02	6.38646e+12	1.00000e+02	2.22531e+26	1.37400e+02	5.56327e+26	1.25418e+02	2.36141e+02	
2.00467e+00	2.15503e+02	6.40052e+12	1.25418e+02	7.78857e+26	4.00000e+02	5.56327e+25	1.37441e+02	8.57699e+01	
2.00691e+00	3.00127e+02	8.93740e+12	1.00000e+02	2.22531e+26	1.37441e+02	8.34490e+26	1.28474e+02	8.53089e+01	
2.00693e+00	3.01029e+02	8.96445e+12	1.28474e+02	1.05702e+27	4.00000e+02	5.56327e+25	1.37445e+02	4.38685e+01	
2.00916e+00	3.85255e+02	1.14894e+13	1.00000e+02	2.22531e+26	1.37445e+02	1.11265e+27	1.30284e+02	4.35609e+01	
2.00920e+00	3.86543e+02	1.15280e+13	1.30284e+02	1.33518e+27	4.00000e+02	5.56327e+25	1.37437e+02	2.65575e+01	
2.01142e+00	4.70410e+02	1.40422e+13	1.00000e+02	2.22531e+26	1.37437e+02	1.39082e+27	1.31479e+02	2.63537e+01	
2.01147e+00	4.72040e+02	1.40911e+13	1.31479e+02	1.61335e+27	4.00000e+02	5.56327e+25	1.37427e+02	1.77780e+01	
2.01368e+00	5.55586e+02	1.65957e+13	1.00000e+02	2.22531e+26	1.37427e+02	1.66898e+27	1.32325e+02	1.76374e+01	
2.01374e+00	5.57522e+02	1.66537e+13	1.32325e+02	1.89151e+27	4.00000e+02	5.56327e+25	1.37416e+02	1.27237e+01	
2.01594e+00	6.40779e+02	1.91496e+13	1.00000e+02	2.22531e+26	1.37416e+02	1.94714e+27	1.32956e+02	1.26226e+01	
2.01600e+00	6.42988e+02	1.92158e+13	1.32956e+02	2.16967e+27	4.00000e+02	5.56327e+25	1.37405e+02	9.55111e+00	
2.01820e+00	7.25985e+02	2.17040e+13	1.00000e+02	2.22531e+26	1.37405e+02	2.22531e+27	1.33444e+02	9.47589e+00	
2.01827e+00	7.28443e+02	2.17776e+13	1.33444e+02	2.44784e+27	4.00000e+02	5.56327e+25	1.37395e+02	7.43049e+00	
2.02046e+00	8.11203e+02	2.42586e+13	1.00000e+02	2.22531e+26	1.37395e+02	2.50347e+27	1.33833e+02	7.37290e+00	
2.02054e+00	8.13887e+02	2.43391e+13	1.33833e+02	2.72600e+27	4.00000e+02	5.56327e+25	1.37386e+02	5.94360e+00	
2.02272e+00	8.96430e+02	2.68136e+13	1.00000e+02	2.22531e+26	1.37386e+02	2.78163e+27	1.34149e+02	5.89843e+00	
2.02280e+00	8.99322e+02	2.69003e+13	1.34149e+02	3.00416e+27	4.00000e+02	5.56327e+25	1.37377e+02	4.86111e+00	
2.02499e+00	9.81664e+02	2.93688e+13	1.00000e+02	2.22531e+26	1.37377e+02	3.05980e+27	1.34412e+02	4.82496e+00	
2.02507e+00	9.84750e+02	2.94613e+13	1.34412e+02	3.28233e+27	4.00000e+02	5.56327e+25	1.37369e+02	4.04873e+00	
2.02725e+00	1.06691e+03	3.19242e+13	1.00000e+02	2.22531e+26	1.37369e+02	3.33796e+27	1.34633e+02	4.01929e+00	
2.02734e+00	1.07017e+03	3.20221e+13	1.34633e+02	3.56049e+27	4.00000e+02	5.56327e+25	1.37362e+02	3.42359e+00	
2.02951e+00	1.15215e+03	3.44798e+13	1.00000e+02	2.22531e+26	1.37362e+02	3.61612e+27	1.34823e+02	3.39926e+00	
2.02960e+00	1.15558e+03	3.45826e+13	1.34823e+02	3.83865e+27	4.00000e+02	5.56327e+25	1.37356e+02	2.93233e+00	
2.03177e+00	1.23741e+03	3.70355e+13	1.00000e+02	2.22531e+26	1.37356e+02	3.89429e+27	1.34986e+02	2.91197e+00	
2.03187e+00	1.24099e+03	3.71431e+13	1.34986e+02	4.11682e+27	4.00000e+02	5.56327e+25	1.37350e+02	2.53932e+00	
2.03404e+00	1.32266e+03	3.95914e+13	1.00000e+02	2.22531e+26	1.37350e+02	4.17245e+27	1.35129e+02	2.52208e+00	
2.03414e+00	1.32640e+03	3.97033e+13	1.35129e+02	4.39498e+27	4.00000e+02	5.56327e+25	1.37344e+02	2.22002e+00	
2.03630e+00	1.40792e+03	4.21474e+13	1.00000e+02	2.22531e+26	1.37344e+02	4.45061e+27	1.35255e+02	2.20528e+00	
2.03641e+00	1.41180e+03	4.22635e+13	1.35255e+02	4.67314e+27	4.00000e+02	5.56327e+25	1.37339e+02	1.95711e+00	
2.03856e+00	1.49319e+03	4.47035e+13	1.00000e+02	2.22531e+26	1.37339e+02	4.72878e+27	1.35366e+02	1.94439e+00	
2.03867e+00	1.49719e+03	4.48235e+13	1.35366e+02	4.95131e+27	4.00000e+02	5.56327e+25	1.37334e+02	1.73807e+00	
2.04083e+00	1.57846e+03	4.72597e+13	1.00000e+02	2.22531e+26	1.37334e+02	5.00694e+27	1.35466e+02	1.72701e+00	
2.04094e+00	1.58259e+03	4.73835e+13	1.35466e+02	5.22947e+27	4.00000e+02	5.56327e+25	1.37330e+02	1.55366e+00	
2.04309e+00	1.66373e+03	4.98160e+13	1.00000e+02	2.22531e+26	1.37330e+02	5.28510e+27	1.35555e+02	1.54398e+00	
