TimeObs (s) 	TimeJet (s) 	Rcoll (cm) 	DSGamma 	DSMass (g) 	UPGamma 	UPMass (g) 	Gammaf 	tau
2.00013e+00	4.46645e+01	4.26644e+01	1.00000e+02	3.40000e+00	4.00000e+02	5.56327e+25	1.37199e+02	2.06590e+03	
2.00240e+00	1.29994e+02	1.27991e+02	1.00000e+02	3.40000e+00	1.37199e+02	2.78163e+26	1.19191e+02	2.36381e+02	
2.00240e+00	1.29997e+02	1.27994e+02	1.19191e+02	7.65000e+00	4.00000e+02	5.56327e+25	1.37400e+02	2.37032e+02	
2.00465e+00	2.15041e+02	2.13037e+02	1.00000e+02	3.40000e+00	1.37400e+02	5.56327e+26	1.25418e+02	8.57642e+01	
2.00467e+00	2.15508e+02	2.13503e+02	1.25418e+02	1.19000e+01	4.00000e+02	5.56327e+25	1.37441e+02	8.57806e+01	
2.00691e+00	3.00137e+02	2.98130e+02	1.00000e+02	3.40000e+00	1.37441e+02	8.34490e+26	1.28474e+02	4.38656e+01	
2.00693e+00	3.01036e+02	2.99029e+02	1.28474e+02	1.61500e+01	4.00000e+02	5.56327e+25	1.37445e+02	4.38785e+01	
2.00916e+00	3.85268e+02	3.83258e+02	1.00000e+02	3.40000e+00	1.37445e+02	1.11265e+27	1.30284e+02	2.65557e+01	
2.00920e+00	3.86552e+02	3.84542e+02	1.30284e+02	2.04000e+01	4.00000e+02	5.56327e+25	1.37437e+02	2.65924e+01	
2.01142e+00	4.70425e+02	4.68414e+02	1.00000e+02	3.40000e+00	1.37437e+02	1.39082e+27	1.31479e+02	1.77769e+01	
2.01147e+00	4.72051e+02	4.70039e+02	1.31479e+02	2.46500e+01	4.00000e+02	5.56327e+25	1.37427e+02	1.78283e+01	
2.01368e+00	5.55604e+02	5.53591e+02	1.00000e+02	3.40000e+00	1.37427e+02	1.66898e+27	1.32325e+02	1.27229e+01	
2.01374e+00	5.57533e+02	5.55520e+02	1.32325e+02	2.89000e+01	4.00000e+02	5.56327e+25	1.37416e+02	1.27817e+01	
